Job,Company,Location,Days posted
Projects Co-ordinator Fort Beaufort,Adventist Community Services,"Eastern Province, KE",New
"Clerical Assistant (0279 & 0744), Stornoway - CNS01804",Comhairle Nan Eilean Siar,"Western Province, KE",New
Policy and Research Manager,Not for Profit,"Western Province, KE",New
Logistics Assistant,Concern Worldwide,"Nairobi, KE",3d
Reservations & Events Manager â Stellenbosch Area / CAPE TOWN,StaffStream,"Western Province, KE",1d
Project Management,The OTaB Group,"Eastern Province, KE",New
SEEKING EMPLOYMENT,City of Wayne,"Eastern Province, KE",3d
Interesting Graduate Job Recruitment Ongoing at Public Service Commission,Public Service Commission,"Nairobi, KE",4d
"HR Executive, MNC, up to 38K",Ambition,"Eastern Province, KE",3d
"HRO Intern- Westlands, Kenya. - Nairobi",Summit Recruitment & Search,"Nairobi, KE",3d
Project Officer Eriks,VSO,"Nairobi, KE",1d
Office Manager (Coworking Space),Ikigai Nairobi,Kenya,1d
Digital Journalist at BBC,BBC,"Nairobi, KE",1d
Developing a technical proposal - Nairobi,Hivos -Humanist Organisation for Social Change-,"Nairobi, KE",6d
Software Engineer,Ona Data,"Nairobi, Nairobi, Kenya",4d
Supply Team Lead,Albemarle Corporation,"Western Province, KE",6d
Promotional Model,Cloud9 Marketing,"Nairobi, Kenya",6d
Operations Manager,EXPATS DIRECT LIMITED,"Nairobi, KE",6d
Client Relationship Manager,Aquarius Recruitment,"Western Province, KE",1d
Belfrics Kenya Limited Internship Program,Belfrics Kenya Limited,"Nairobi, KE",1d
Senior Associate 2,PwC Kenya,"Nairobi, KE",5d
Pharmaceutical Sales Representative,Higher Intelligence LLC,"Western Province, KE",1d
IT Field Technician - EUC George - Bytes Managed Solutions,Altron Bytes Managed Solutions,"Eastern Province, KE",4d
Enrollment Manager- Marketing at KCA University,KCA University,"Nairobi, KE",3d
Social Media Video Creator,International Rescue Committee,"Nairobi, KE",3d
Senior Accounting Associate at Compassion International,Compassion International,"Nairobi, KE",4d
Administrative Officer - Nairobi,Kenya Red Cross,"Nairobi, KE",6d
"RE-ADVERTISEMENT: Regional Humanitarian Advisor - East and Southern African Region, Nairobi, Kenya, P-5",United Nations Population Fund (UNFPA),"Nairobi, KE",4d
Admin Branch Clerk (B3),AVBOB South Africa,"Eastern Province, KE",New
Test Automation Engineer - Nairobi,Arifu,"Nairobi, KE",5d
Branch Admin Officer : East London,AMPATH,"Western Province, KE",1d
Systems Officer at Africa Nazarene University,Africa Nazarene University,"Nairobi, KE",4d
Client Support Service,"VCC Link, Inc.","Western Province, KE",2d
Maintenance Administrator,UGL,"Eastern Province, KE",1d
Project Finance Management,Ericsson,"Nairobi, KE",1d
Ongoing Graduate Jobs Trending at Nation Media Group,Nation Media Group,"Nairobi, KE",3d
Operations Officer at Mercy Corps,Mercy Corps,"Nairobi, KE",3d
Junior Recruitment Consultant,RPO Services SA,"Western Province, KE",1d
Junior - Mid Software Developer (Node / TypeScript / Angular),Datafin Recruitment,"Eastern Province, KE",1d
Head of Customer Insights & Product Development,Moko Home + Living,"Nairobi, Kenya",1d
Counselor,PolyCare Wellness Centre,"Nairobi, Kenya",1d
Sales Lead - FinTech (Africa),Fidor Solutions,"Nairobi, Kenya",5d
Assistant Engineer - Biomedical,The Nairobi Hospital,"Nairobi, KE",3d
Head of Institutional Business,Human Destiny Executive Search and Recruitment,Kenya,2d
Middle Office Support,Conova,"Western Province, KE",2d
Brand Ambassador at Shimansky Jewellers,Shimansky,"Western Province, KE",1d
Field Services Manager Africa,Beckman Coulter Diagnostics,Kenya,New
Learning Specialist - Primary,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Paraplanner,Latitude Resource,"Western Province, KE",1d
Planning Engineer,Kenya Airways,"Nairobi, KE",3d
Sales & Volume Analyst at Sheer Logic,Sheer Logic,"Nairobi, KE",2d
Field Service Engineer,GE Renewable Energy,"Nairobi, KE",2d
Senior Technical Lead in Software Development,Compuscan,"Western Province, KE",1d
School Based Trainee – Bunbury,City Beach Australia,"Western Province, KE",6d
Capital Markets and Financial Inclusion Officer,Habitat for Humanity International,"Nairobi, KE",6d
Responsable des relations sociales H/F,Robert Walters,"Meru, KE",1d
Customer Technical Service,Recours Four Kenya Consultants Limited,"Nairobi, KE",1d
Clinical Officer at Kakamega County,Kakamega Golf Hotel Ltd.,"Nairobi, KE",1d
"Director, Government Business Development",Mastercard,"Nairobi, KE",5d
Customer Advisor- Musica Hemmingways,Musica,"Eastern Province, KE",1d
Artisan at Kenya Defence Forces,Defence Forces of Ireland,"Nairobi, KE",6d
Experienced Waiters,Lauren International,"Eastern Province, KE",5d
"Director, Partner Engineering",Andela,"Nairobi, KE",2d
Revenue Officer,G4S,"Nairobi, KE",3d
Dispatch Clerk,Imperial Logistics,"Nairobi, Kenya",New
"Director, Kenya Country Program (9708)",PATH,"Nairobi, Kenya",3d
Inside Sales Representative,Infobip,"Nairobi, KE",New
Director of Technology Solutions at Village Enterprise,Village Enterprise,"Nairobi, KE",3d
QUALITY ANALYST - DURBANVILLE - MARKET RELATED SALARY,West Coast Personnel,"Western Province, KE",1d
Technical Manager,Mustek Limited,"Western Province, KE",1d
Commercial Team Fellow,BURN Manufacturing,"Nairobi, KE",5d
