Job,Company,Location,Days posted
"System Engineer - $100,000/year USD - JobID #3343",Crossover for Work,"Nairobi, KE",2d
Warehouse Operator,Imperial Logistics,"Nairobi, Kenya",New
Finished Product Superintendent,Albemarle Corporation,"Western Province, KE",2d
Senior Project Engineer / Project Manager - Contract Position,Bridge Personnel Concepts,"Eastern Province, KE",1d
Field ATM Technician - Queenstown,Altron Bytes Managed Solutions,"Eastern Province, KE",1d
Manager.Cargo Security,Kenya Airways,"Nairobi, KE",1d
Director of Technology Solutions,Village Enterprise,Kenya,2d
"UX Manager, Dev",GitLab Inc.,"Nairobi, KE",3d
Accountant,PERSONA staff,"Western Province, KE",1d
Learner Technologist (Clinpath) : Greenacres,AMPATH,"Eastern Province, KE",1d
Examinations Officer (School of Professional Programmes) at KCA University,KCA University,"Nairobi, KE",3d
Maintenance Manager,O'Dwyer Personnel,"Western Province, KE",1d
Foreign Exchange Portfolio Manager,Aquarius Recruitment,"Western Province, KE",1d
Healthcare Management: Revenue Cycle Management | JOB-2610094,CompHealth,"Western Province, KE",1d
Personal Assistant Fort Beaufort,Adventist Community Services,"Eastern Province, KE",New
Sales Representative Food Service,Strategic Marketing  International,"Eastern Province, KE",6d
Sport Coordination / Integration,"Department of Health & Human Services, Victoria","Western Province, KE",New
Security Supervisor at Radisson Hotel Group,Radisson Hotel,"Nairobi, KE",4d
Head of Strategic Partnerships & External Relations at Africa Nazarene University,Africa Nazarene University,"Nairobi, KE",4d
LEGAL OFFICER,United Nations,"Nairobi, KE",3d
Director of Engineering,BURN Manufacturing,"Nairobi, KE",5d
BOH Manager required,Calvin International,"Eastern Province, KE",3d
Accountant for a Security Firm - Nairobi,Summit Recruitment & Search,"Nairobi, KE",6d
Hospital Administrator - Eldoret(200k),Corporate Staffing International,"Eldoret, KE",2d
QA / QC Engineering Internship at Sanergy,Sanergy,"Nairobi, KE",2d
agent de fabrication H/F,CRIT France,"Meru, KE",New
Stagiaire été 2019,Google,"Nairobi, KE",2d
Restaurant Coordinator - Atria Cutter Mill,Atria Senior Living,"Western Province, KE",New
PHP Developer,Tumaini Consulting,"Western Province, KE",1d
Technicien / Technicienne en mesures physiques et essais (H/F),Trescal Group,"Meru, KE",4d
Contract Videographer,One Acre Fund,"Nairobi, KE",5d
"Senior Technical Advisor, Participation & Women's Movement Building",International Rescue Committee,"Nairobi, KE",1d
Senior Sales Director - Aerospace,Pall Corporation,"Western Province, KE",6d
"Head of Health, Nutrition & Social Services at Kenya Red Cross Society",Kenya Red Cross,"Nairobi, KE",1d
Heavy Duty Diesel Mechanic & Auto Electricians,Mader Group,"Western Province, KE",1d
Music Specialist at Kenya Defence Forces,Defence Forces of Ireland,"Nairobi, KE",2d
Sheet Metal Supervisor,SFG Engineering Services Pty (Ltd),"Western Province, KE",1d
OUTSIDE PLANTING FARM MANAGER,Farm Manager,"Eastern Province, KE",6d
"STORE MANAGER IN PEPPER GROVE MALL FOR TOP BOOKSTORE, BARGAIN BOOKS, GRAHAMSTOWN",Jenny Company The,"Eastern Province, KE",6d
Diesel Mechanic,Staffing,"Eastern Province, KE",1d
Technical Lead - Nairobi,Pezesha,"Nairobi, KE",3d
Junior Staffing Specialists,RPO Services SA,"Western Province, KE",5d
Interim Sales Representative at Suguna Poultry Kenya Ltd,Suguna Foods Limited,"Nairobi, KE",1d
Store Manager,SWITCH CONSULTING RECRUITMENT LIMITED,"Western Province, KE",New
Restaurant Manager,Lauren International,"Eastern Province, KE",5d
Theatre Attendants,The Nairobi Hospital,"Nairobi, KE",3d
Estimator,Mass Staffing Projects,"Western Province, KE",1d
Commissioner For Cooperative Development at Public Service Commission,Pensacola State College,"Nairobi, KE",4d
Senior Lecturer/Associate Professor/Professor Coun,Intelligent Placement,"Western Province, KE",1d
Legacy Marketing Manager,Not for Profit,"Western Province, KE",New
"Mineral Process engineer-Chemical Engineers and/or Metallurgists with Degrees (Lutzville, West Coast",West Coast Personnel,"Western Province, KE",1d
IT Field Technician - EUC East London,Altron Bytes Managed Solutions,"Eastern Province, KE",4d
Dispatch Supervisor,Imperial Logistics,"Nairobi, Kenya",New
`Regional CDL-A Company Driver,Spectrum Driver Recruiters,"Western Province, KE",New
"Backend Engineer, Defend",GitLab Inc.,"Nairobi, KE",New
E&I Maintenance Planner,Albemarle Corporation,"Western Province, KE",2d
"Manager, Finance (Account Operations & Systems)",GREAT EASTERN,"Eastern Province, KE",New
Beverage Sales & Trade Marketing Representative at Sheer Logic,Sheer Logic,"Nairobi, KE",4d
Conseiller en immobilier,Corp. immobilier,"Meru, KE",5d
Perth South - Food Driver / Delivery Courier - Start today,Menulog Group Limited,"Western Province, KE",2d
Automotive Parts Driver (Go Auto Red Deer),Go Auto,"Western Province, KE",New
Sales Representatives at Resolution Insurance,Resolution Insurance,"Nairobi, KE",3d
Workshop Manager,Career Directions Ltd,"Nairobi, KE",New
Learning Specialist - Secondary,"Department of Health & Human Services, Victoria","Western Province, KE",6d
General Manager: Legal and Commercial,Latitude Resource,"Western Province, KE",1d
"Associate Director, Office of the Chief Medical Officer",Eastern Health,"Eastern Province, KE",6d
Senior Reporter at Nation Media Group,Nation Media Group,"Nairobi, KE",3d
Sales Executive,O'Dwyer Personnel,"Western Province, KE",1d
Newly Trending Job Vacancies Opened at Africa Nazarene University,Africa Nazarene University,"Nairobi, KE",4d
Financial Advisor,Corporate Staffing International,"Nairobi, KE",6d
Senior Software Test Engineer,Datafin Recruitment,"Western Province, KE",1d
"Physical Therapist, Travel | JOB-2610414",CompHealth,"Western Province, KE",New
Caregiver - Atria Glen Cove,Atria Senior Living,"Western Province, KE",1d
Business Intelligence Analyst (Data Warehouse Analyst),TSM Consulting,"Western Province, KE",1d
Biomedical Technologist,The Nairobi Hospital,"Nairobi, KE",3d
F&B Manager - Professional Career Services,Professional Career Services,"Eastern Province, KE",2d
Experienced Clinical Team Manager - Vaccines or Infectious Diseases,PPD,"Nairobi, KE",3d
Distribution Manager,Tumaini Consulting,"Western Province, KE",1d
Mandarin Speaking Sales Executive,Shimansky,"Western Province, KE",1d
Civil Engineer,Intelligent Placement,"Western Province, KE",3d
"AVP, Business Continuity Management",GREAT EASTERN,"Eastern Province, KE",2d
MHE Operator,Imperial Logistics,"Nairobi, Kenya",New
Global Sourcing and Procurement Deputy Director,One Acre Fund,"Nairobi, KE",5d
Food & Beverage Manager,Staffing,"Eastern Province, KE",2d
Accredited Assessors,The OTaB Group,"Eastern Province, KE",1d
"Chef D'Equipe (H/F), Meru",Adecco,"Meru, KE",6d
Retail Manager,Summit Recruitment & Search,"Nairobi, KE",New
Technical Project Manager at Sanergy,Sanergy,"Nairobi, KE",2d
Field ATM Technician :Cradock,Altron Bytes Managed Solutions,"Eastern Province, KE",1d
Endorsed Enrolled Nurse - Mental Health | Eastern Sydney Area,North Shore Nurses,"Eastern Province, KE",5d
Perth South - Food Driver / Delivery Courier - Start today,Menulog Group Limited,"Western Province, KE",2d
Apply Today – Red Cross Society Job Opportunities Available For You,Kenya Red Cross,"Nairobi, KE",1d
Maintenance Manager/Millwright,Mass Staffing Projects,"Western Province, KE",1d
"Mineral Process Engineer – Chemical Engineers and/or Metallurgists with Degrees (Lutzville, West Coa",West Coast Personnel,"Western Province, KE",1d
Dock Master at Kenya Defence Forces,Defence Forces of Ireland,"Nairobi, KE",2d
Backend Engineer - Create: Source Code,GitLab Inc.,"Nairobi, KE",6d
News Editor at Nation Media Group,Nation Media Group,"Nairobi, KE",3d
Spare Parts Clerk(Motor Industry) at Sheer Logic,Sheer Logic,"Nairobi, KE",4d
Staff Dev and Wellbeing Coord,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Moodle Technician,PERSONA staff,"Western Province, KE",1d
Senior Deputy Commissioner For Cooperative Development at Public Service Commission,Pensacola State College,"Nairobi, KE",4d
Medical Equipment Service Technician (Electronic Technologist),Latitude Resource,"Western Province, KE",1d
General Manager - Eldoret(100k),Corporate Staffing International,"Eldoret, KE",2d
Relationship Officer at Brighter Africa,Brighter Africa,"Nairobi, KE",2d
Assistant Engineer (Biomedical) at Nairobi Hospital,The Nairobi Hospital,"Nairobi, KE",4d
Dispatch Supervisor - Warehouse,Imperial Logistics,"Nairobi, Kenya",New
Kenya Deputy Country Director - Operations,One Acre Fund,"Kakamega, KE",1d
Driver : Western Cape,AMPATH,"Western Province, KE",1d
Experienced Bartender position,Lauren International,"Eastern Province, KE",5d
Chef Fort Beaufort,Adventist Community Services,"Eastern Province, KE",New
Marketing Officer at Africa Nazarene University,Africa Nazarene University,"Nairobi, KE",4d
Truck Sales Person,Bridge Personnel Concepts,"Eastern Province, KE",1d
IT Field Technician - EUC - Cape Town,Altron Bytes Managed Solutions,"Eastern Province, KE",6d
Sales Representative - Kakamega,Summit Recruitment & Search,"Kakamega, KE",3d
Registered Nurse at Kakamega County,Kakamega Golf Hotel Ltd.,"Nairobi, KE",1d
Audit Manager,RPO Services SA,"Western Province, KE",New
"Speech Pathology Manager, Allied Health Manager Surgery",Eastern Health,"Eastern Province, KE",5d
Generalist Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",5d
Registered Nurse,HC One Enterprises,"Western Province, KE",New
Chaplain/Imam at Kenya Defence Forces,Defence Forces of Ireland,"Nairobi, KE",2d
Spare Parts Clerk at Sheer Logic,Sheer Logic,"Nairobi, KE",4d
Debtors Clerk,Staffing,"Eastern Province, KE",2d
"Technical Solar Installation Project Manager, Windhoek",Latitude Resource,"Western Province, KE",1d
Business Intelligence Associate - Kilifi,Komaza Forestry Ltd,"Kilifi, KE",1d
Resident Engineer,Tumaini Consulting,"Eastern Province, KE",1d
Patient/Outpatient Centre Attendants at Nairobi Hospital,The Nairobi Hospital,"Nairobi, KE",4d
Associate Professor Accounting,Intelligent Placement,"Eastern Province, KE",1w
Store Manager,O'Dwyer Personnel,"Western Province, KE",1d
Server/Waitstaff - Atria Park of Great Neck,Atria Senior Living,"Western Province, KE",1d
Trainee Regional Manager (Meat Markets),The Shoprite Group of Companies,"Eastern Province, KE",2d
"Associate, Non-Motor Claims - GEGM",GREAT EASTERN,"Eastern Province, KE",2d
Kenya Internal Audit Lead,One Acre Fund,"Kakamega, KE",4d
"AVP, Technology Risk",GREAT EASTERN,"Eastern Province, KE",2d
"Mineral Process Engineer – Mineral Separation Plant (Lutzville, West Coast) R600,000 CTC Per Annum",West Coast Personnel,"Western Province, KE",1d
Deputy Director Of Pensions at Public Service Commission,Pensacola State College,"Nairobi, KE",4d
Registered Nurse- Mental Health | South Eastern Sydney,North Shore Nurses,"Eastern Province, KE",5d
Senior Technician (Clinpath) : Queenstown,AMPATH,"Western Province, KE",1d
Network Consultant – CCIE,Corporate Staffing International,"Nairobi, KE",6d
Night Receptionist / Auditor Fort Beaufort,Adventist Community Services,"Eastern Province, KE",New
Fitter and Turner,PERSONA staff,"Western Province, KE",1d
IT Field Technician - EUC - Cape Town - Outlying - Bytes Managed Solutions,Altron Bytes Managed Solutions,"Eastern Province, KE",6d
Site Agent,Mass Staffing Projects,"Western Province, KE",1d
Senior Collections Manager,Summit Recruitment & Search,"Nairobi, KE",1d
Librarian,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Finance & Administration Officer at Brighter Africa,Brighter Africa,"Nairobi, KE",2d
"MEDICAL & SURGICAL SALES CONSULTANT - MILNERTON R17,000 PER MONTH",West Coast Personnel,"Western Province, KE",1d
Sales Executives at Sheer Logic,Sheer Logic,"Nairobi, KE",2d
Seasonal Chef (Fine Dining/Elegant Dining) - Professional Career Services,Professional Career Services,"Eastern Province, KE",2d
Technical Workshop Manager (Electronic/Mechanical Engineer),Latitude Resource,"Western Province, KE",1d
Oceanographer at Kenya Defence Forces,Defence Forces of Ireland,"Nairobi, KE",2d
Registered Nurse,HC One Enterprises,"Western Province, KE",1d
Theatre Attendants at Nairobi Hospital,The Nairobi Hospital,"Nairobi, KE",4d
Maintenance Supervisor,Tumaini Consulting,"Eastern Province, KE",1d
English and Humanities Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Senior Lecturer/Associate Professor/Professor Counselling Psychologist,Intelligent Placement,"Eastern Province, KE",New
Certified Registered Nurse Anesthetist | JOB-2610292,CompHealth,"Western Province, KE",New
Field ATM Technician - Piketburg - Bytes Managed Solutions,Altron Bytes Managed Solutions,"Eastern Province, KE",New
Server/Waitstaff - Atria on Roslyn Harbor,Atria Senior Living,"Western Province, KE",2d
Developer,Staffing the Universe,"Nakuru, KE",6d
"Electrician – Epping - R40,000 per month",West Coast Personnel,"Western Province, KE",1d
Mechanical / Plant Engineer,Summit Recruitment & Search,"Nairobi, KE",3d
Finance & Admin Manager (180-200K),Corporate Staffing International,"Nairobi, KE",6d
Senior Engineering Planner,RPO Services SA,"Western Province, KE",1d
Enrolled Nurse : Blaauwberg,AMPATH,"Western Province, KE",1d
Lawyer at Kenya Defence Forces,Defence Forces of Ireland,"Nairobi, KE",2d
Newly Trending Job Vacancies Opened at Sheer Logic,Sheer Logic,"Nairobi, KE",2d
Trade Tested Electrician,PERSONA staff,"Western Province, KE",1d
Ed Support Level 1-Range 1,"Department of Health & Human Services, Victoria","Western Province, KE",New
Registered Nurse,HC One Enterprises,"Western Province, KE",6d
Knowledge and Learning Specialist - Nairobi,Oxfam-Québec,"Nairobi, KE",4d
Biomedical Technologist at Nairobi Hospital,The Nairobi Hospital,"Nairobi, KE",4d
"SALES CONSULTANT - DIAMONDS, TANZANITE AND GEMSTONES – Cape Town, CBD SALARY NEG PER MONTH",West Coast Personnel,"Western Province, KE",1d
Cooperative Audit Director at Public Service Commission,Pensacola State College,"Nairobi, KE",4d
"Pharmacist– Thika, Kenya",Summit Recruitment & Search,"Thika, KE",1d
Pharmacy: Director of Pharmacy | JOB-2609927,CompHealth,"Eastern Province, KE",1d
Finance & Admin Manager - Construction,Corporate Staffing International,"Nairobi, KE",1d
Med Tech - Atria Plainview,Atria Senior Living,"Western Province, KE",2d
Sous Chef – East London,Professional Career Services,"Eastern Province, KE",2d
Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Front End Web Developer - Nairobi,Kesholabs Blockchain Centre,"Nairobi, KE",1d
Motorbike Riders,The Nairobi Hospital,"Nairobi, KE",3d
"Sales Representative – Woodstock- R12,000 - R15,000 plus com, fuel and cell",West Coast Personnel,"Western Province, KE",1d
Civil Quantity Surveyor,RPO Services SA,"Western Province, KE",1d
Sales Representative – Eldoret,Summit Recruitment & Search,"Eldoret, KE",1d
Server/Waitstaff - Atria Plainview,Atria Senior Living,"Western Province, KE",2d
Registered Nurse : Mosselbay,AMPATH,"Eastern Province, KE",1d
Intelligence Support Officer,"Department of Health & Human Services, Victoria","Western Province, KE",4d
Electromechanical Engineer - Water Treatment Plant (150-180K),Corporate Staffing International,"Nairobi, KE",1d
PROGRAM COORDINATOR,Afringa,"Nairobi, KE",2d
Mechanical / Plant Engineer,Summit Recruitment & Search,"Nairobi, KE",2d
Teacher Grad Recruit Program,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Motorbike Riders at Nairobi Hospital,The Nairobi Hospital,"Nairobi, KE",4d
Team Leader at Brighter Africa,Brighter Africa,"Nairobi, KE",2d
"Commercial Property Brokers - Green Point - R8,000 per month plus Commission",West Coast Personnel,"Western Province, KE",1d
Youth Counsellor,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Senior Collections Manager.,Summit Recruitment & Search,"Nairobi, KE",2d
Advocacy Officer,NFP People Limited,"Western Province, KE",New
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",1d
DATABASE DEVELOPER INTERN,Jacaranda Health Solutions Ltd,"Nairobi, KE",6d
Sales Representative - Eldoret,Summit Recruitment & Search,"Eldoret, KE",2d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Social Media Coordinator,MG Mali Group of Companies,"Eastern Province, KE",6d
Critical Care Nurses,The Nairobi Hospital,"Nairobi, KE",3d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Project officer at Biovision Africa Trust,Biovision Africa Trust,"Nairobi, KE",2d
Pharmacist,Summit Recruitment & Search,"Thika District, KE",2d
Critical Care Nurses at Nairobi Hospital,The Nairobi Hospital,"Nairobi, KE",4d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",New
Web Development Intern,Elewa Company Ltd,"Nairobi, KE",New
Social Worker / Wimmera Community Options,"Department of Health & Human Services, Victoria","Western Province, KE",New
Office Administrator,LSC Staffing Solutions T/A HSC,"Western Province, KE",1d
Peri-Operative (Theatre) Nurses,The Nairobi Hospital,"Nairobi, KE",3d
"Impact Investments Fellow, Africa/Middle East (Francophone) - Nairobi",Kiva,"Nairobi, KE",6d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",3d
Peri-Operative (Theatre) Nurses at Nairobi Hospital,The Nairobi Hospital,"Nairobi, KE",4d
Backend Software Engineer,Soko,"Nairobi, KE",3d
Senior Customer Service Consultant,"Department of Health & Human Services, Victoria","Western Province, KE",1d
IT Analyst at Uniliver,Uniliver,"Nairobi, KE",1d
Graduate Teacher Program,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Senior Software Engineer - Nairobi,Soko,"Nairobi, KE",3d
"Graduate Classroom Teacher - English, VCE English","Department of Health & Human Services, Victoria","Western Province, KE",1d
ADMINISTRATIVE ASSISTANT,FMCT RECRUITMENT,"Western Province, KE",4d
Teacher Aide,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Program Rotation Associate,One Acre Fund,"Kakamega, KE",3d
Teacher Aide,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Executive Assistant,NFP People Limited,"Western Province, KE",New
Leading Teacher - Community Engagement,"Department of Health & Human Services, Victoria","Western Province, KE",6d
FIELD COORDINATOR,Afringa,"Nairobi, KE",2d
classroom teacher,"Department of Health & Human Services, Victoria","Western Province, KE",New
Group - Payroll Administrator,Dynexity Pty Ltd,"Western Province, KE",4d
Executive Assistant,Kisumu Concrete Product,Kenya,New
Literacy Leader and VCE English Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",1d
ILRI CONSULTANCY – PROGRAM SUPPORT TO BECA-ILRI HUB,Afringa,"Nairobi, KE",2d
Daily Organisation / OHS,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Ongoing Career Opportunities to Apply at Salaries and Remuneration Commission,Salaries And Remuneration Commission,"Nairobi, KE",2d
"Family Violence Respondent Practitioner, Ballarat Magistrates' Court","Department of Health & Human Services, Victoria","Western Province, KE",1d
Front Desk Agent,Accor Hotels,"Nanyuki, KE",6d
Technology Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Full Stack Developer: Ruby On Rails,Lipa Later,"Nairobi, KE",3d
Special Education Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Product Manager - Nairobi,ALX,"Nairobi, KE",4d
Drama/Art Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Staff Trainer - Nairobi,Smart Gyms,"Nairobi, KE",1d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",New
Digital Marketing Representative,Anonymous Employer,"Nairobi, KE",6d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Policy and Research Manager,NFP People Limited,"Western Province, KE",New
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",New
Deputy Chief of Staff - Nairobi,ALX,"Nairobi, KE",4d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Supply Chain Officer,PMDMS,"Western Province, KE",1d
Teacher Aide,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Assistant Program Mentor - Intern,International Medical Aid,"Mombasa, KE",New
Daily Organisation / OHS,"Department of Health & Human Services, Victoria","Western Province, KE",New
RESEARCH ASSOCIATE III - Nairobi,Afringa,"Nairobi, KE",2d
Classroom Teacher - Maths and Science,"Department of Health & Human Services, Victoria","Western Province, KE",New
"Graduate Classroom Teacher - Mathematics Yrs7-10, VCE Mathematics","Department of Health & Human Services, Victoria","Western Province, KE",1d
"Social Enterprise / Kiva Labs Fellow, Africa/Middle East (Anglophone) - Nairobi",Kiva,"Nairobi, KE",5d
Auslan Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Graduate Software Developer,Communicate Cape Town IT,"Western Province, KE",1d
HAPE and Outdoor Education Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",1d
Staff Trainer,Smart Gyms,"Karen, KE",2d
Graphics Designer,BBC Africa-TV,"Nairobi, KE",1d
VCAL/ Humanities Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Commercial Team Fellow,Burn Manufacturing,"Nairobi, KE",4d
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",3d
Service Advisor at Brighter Africa,Brighter Africa,"Nairobi, KE",2d
"Koori Women's Family Violence Practitioner, Ballarat Magistrates' Court","Department of Health & Human Services, Victoria","Western Province, KE",2d
Casual Engagment (All categories) - Nanyuki,Accor Hotels,"Nanyuki, KE",6d
Food and Hospitality Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Retail Operations Support Manager - Nairobi,NFT Consult,"Nairobi, KE",1d
"Koori Men's Family Violence Practitioner, Ballarat Magistrates' Court","Department of Health & Human Services, Victoria","Western Province, KE",2d
Filling Station: Pickers and Packers,Colca,"Eastern Province, KE",New
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",5d
Production & Logistics Strategist,King Recruitment Solutions,"Eastern Province, KE",1w
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Android Developer,Cecypo Limited,,
Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Senior Front End Expert - Nairobi,Soko,"Nairobi, KE",3d
Instumental Music - Guitar,"Department of Health & Human Services, Victoria","Western Province, KE",3d
Project Finance Management at Ericsson-Worldwide,Ericsson-Worldwide,"Nairobi, KE",1d
New Graduate Incentive - Secondary Maths Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",6d
PROJECT MANAGER - REF: PM/01/11/2019,CARE International in Kenya,"Nairobi, KE",4d
"Ecolinc Education Officer - VCE Chemistry, VCE Biology, General Science P-10","Department of Health & Human Services, Victoria","Western Province, KE",6d
Team Leader (Delivery.com),"Mr. Delivery, USA","Western Province, KE",1d
Maths and Maths Intervention Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Sales Planner,AFRICAWORK,"Eastern Province, KE",New
Speech Therapist,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Learning & Development Administrator (Contract),Western Cape Corporate Placements,"Western Province, KE",1d
Leading Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Head of Marketing,AFRICAWORK,"Eastern Province, KE",New
Maths / Technology Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",5d
Head of campaigns,go people ltd,"Western Province, KE",New
Mathematics Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Assistant Social Media Customer Engagement Manager,TSM Consulting,"Western Province, KE",1d
Classroom Teacher - Music,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Receptionist (Ref:1694),NDC PERSONNEL & CONTRACTORS,"Western Province, KE",4d
Chemistry Classroom Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",1d
RESEARCH OFFICER I-BIOINFORMATICS - Nairobi,Afringa,"Nairobi, KE",2d
Leading Teacher Range 3,"Department of Health & Human Services, Victoria","Western Province, KE",3d
ECONOMIC DEVELOPMENT SECTOR MANAGER - REF: EDM/02/11/2019 - Nairobi,CARE International in Kenya,"Nairobi, KE",2d
Classroom Teacher Range 2,"Department of Health & Human Services, Victoria","Western Province, KE",6d
USSD developer in the health tech space - Nairobi,Baobab Circle,"Nairobi, KE",3d
Chinese Language,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Director of Research,Burn Manufacturing,"Nairobi, KE",4d
HAPE and Outdoor Education Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Junior Java Developer,Communicate Cape Town IT,"Western Province, KE",1d
Woodwork Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",2d
F&B Controller (20-25k),Tupelo African Dishes Restaurant,"Nairobi, KE",2d
Italian Teacher,"Department of Health & Human Services, Victoria","Western Province, KE",2d
QSSK-MP-HRA HR ADMINISTRATOR,Q-Sourcing Servtec,"Nairobi, KE",6d
Senior Project and Change Manager,NFP People Limited,"Western Province, KE",New
Classroom Teacher- French,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Export Operations,People in Focus,"Eastern Province, KE",New
Classroom Teacher - Italian,"Department of Health & Human Services, Victoria","Western Province, KE",6d
HOTEL CORQUE NIGHT AUDITOR,Chumash,"Awasi, KE",1d
Occupational Therapist,"Department of Health & Human Services, Victoria","Western Province, KE",6d
Head of Customer Insights & Product Development at Moko Home + Living,Moko Homes,"Nairobi, KE",1d
Academy Assessor,Full Circle Contact Centre Services LTD,"Western Province, KE",1d
Senior Parole Officer - Ballarat,"Department of Health & Human Services, Victoria","Western Province, KE",4d
Personal Assistant - Palliative Care,NHS,"Western Province, KE",5d
HACCP Consultant-Product Quality & Safety - Nairobi,NFT Consult,"Nairobi, KE",1d
Physiotherapist,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Marketing Officer at Sian Roses,Sian Roses,"Nairobi, KE",6d
Boulanger h/f,Boulangerie Louise,"Meru, KE",1d
Social Media Marketing Experts,Anonymous Employer,"Nairobi, KE",2d
Client Service Executive (Front Office),TripleOK Law Advocates,"Nairobi, KE",6d
Boulanger - ref 2660 (H/F),BOULANGERIE LOUISE,"Meru, KE",4d
Boulanger h/f,Boulangerie Louise,"Meru, KE",2d
Tour Consultant (For Tours & Travel Company) - READVERTISED,Skills Geographic,"Nairobi, KE",2d
Sales representatives,Crywan Enterprises limited,"Nairobi, Kenya",New
Sales Manager,Kisumu Concrete Product Ltd,Kenya,New
"008567 Clerical Officer, Health Records DCN",NHS,"Western Province, KE",6d
Duty Manager Resort,Leapfrog Hospitality Recruitment,"Eastern Province, KE",New
Sales Executive at Tata Africa,Tata Holdings,"Nairobi, KE",4d
Butler - Awasi,Accor,"Awasi, KE",4d
SENIOR PROFESSIONAL OFFICER: SENIOR BUSINESS ANALYST,CITY OF CAPE TOWN MUNICIPALITY,"Western Province, KE",1d
SITE ENGINEER (GCC) - EASTERN CAPE,Redcat Recruitment,"Eastern Province, KE",New
Clerk of Works - Kilifi,NFT Consult,"Kilifi, KE",1d
Accounting Clerk,TSM Consulting,"Western Province, KE",1d
SECTION PRODUCTION MANAGER,Darling Romery,"Western Province, KE",1d
Cash Grants & Finance Assistant,DRC - Danish Refugee Council,"Nairobi, KE",New
QSSK-QSS-DA-DATA ANALYST - Nairobi,Q-Sourcing Servtec,"Nairobi, KE",5d
Drivers at AA Kenya,AA Kenya,"Nairobi, KE",3d
Assistant Management Couple - Eastern Cape (ZJ - 1066),Zeebra Junction,"Eastern Province, KE",3d
Online English Teacher,EF Education First,"Western Province, KE",1d
MAC Retail Artist,Estee Lauder Companies,"Eastern Province, KE",4d
Graphic Designer (Printing Company),Skills Geographic,"Nairobi, KE",New
Director of Engineering,Burn Manufacturing,"Nairobi, KE",4d
Senior Draughtsman,M3 Human Capital Management,"Western Province, KE",1d
Assistant F&B Manager,Ultimate Searching Consulting T/A Strike Holdings,"Western Province, KE",1d
Chief Risk and Safety Officer,Adogreen Africa,"Eastern Province, KE",4d
008573 Clerical Officer - Health Records,NHS,"Western Province, KE",6d
Commis 3,Accor,"Awasi, KE",5d
ECONOMIC DEVELOPMENT SECTOR MANAGER - REF: EDM/02/11/2019,CARE International in Kenya,"Nairobi, KE",3d
Commodities Buyer,King Recruitment Solutions,"Eastern Province, KE",1w
Internal Sales Co-ordinator,TSM Consulting,"Western Province, KE",1d
