Job Title,Company,Location,Remote,Relocation,Compensation,tags
Head of Engineering (f/m/div) for our venture Joonko,FinLeap GmbH,"Berlin, Germany",,Paid relocation,,"java,reactjs,aws,spring-boot,postgresql"
"Senior Software Engineer, Creative Management",Quantcast,"London, UK",,Paid relocation,Equity,"java,nosql,amazon-web-services,activemq,rabbitmq"
Python Developer,YouGov,No office location,Remote,,$75k - 100k,"python,django,postgresql,mongodb,cherrypy"
Frontend Developer,Picnic,"Amsterdam, Netherlands",,Paid relocation,,"java,javascript,typescript,angular,reactjs"
DevOps Automation Engineer,AstraZeneca,"Cambridge, UK",,Paid relocation,,"devops,automation,jenkins,continuous-integration,continuous-deployment"
DLT Development Engineer (Blockchain/Cryptography) - Amsterdam,ING,"Amsterdam, Netherlands",,Paid relocation,,"blockchain,kotlin,cryptography,solidity,go"
"Principal, Software Engineer (Product Front team)",Coupang,"Songpa-daero, South Korea",,Paid relocation,,"java,spring,amazon-web-services"
Senior Backend Engineer (Go) (f/m/d),fromAtoB,"Berlin, Germany",,Paid relocation,,"go,cloud,python"
Technical Team Lead,FareHarbor,"Amsterdam, Netherlands",,Paid relocation,€75k - 95k,"python,django"
Web Backend Developer,European Molecular Biology Laboratory (EMBL),"Heidelberg, Deutschland",,Paid relocation,,"php,javascript,sql,database,python"
Front-End Developer,DEGIRO B.V.,"Amsterdam, Netherlands",,Paid relocation,,"javascript,css,typescript,html5,reactjs"
Senior Software Engineer - DevOps,Appian,"Reston, VA",,,,"java,terraform,jenkins,gitlab,devops"
Software Engineer (Golang),Zattoo,"Berlin, Germany",,,,"go,python,ruby,cassandra,kubernetes"
Ionic Mobile Developer [REMOTE],Clevertech,No office location,Remote,,,"mobile,android,ios,ionic,ionic3"
"Principal Engineer (Tech Lead), APAC",foodpanda,Singapore,,Paid relocation,,"go,node.js,python"
Data Engineer,Density,No office location,Remote,,,"python,django,reactjs"
Senior Developer,Harver,"Amsterdam, Netherlands",,Paid relocation,Equity,"javascript,reactjs,automated-tests,typescript,angular"
Solution Engineer US (m/f),relayr GmbH,"Chicago, IL",,,,"c++,linux,c,modbus,sensor"
TÉCNICO DE MEDICIÓN,CALADERO,"Zaragoza, Spain",,,,
Senior Python Software Engineer - Join our growing team of 30+ developers,Tails.com,"Richmond, UK",On-site and limited remote,,"£50k - 75k

                         | 
Equity","python,flask,celery,mysql,amazon-web-services"
Softwareentwickler (w/m/d) – Webentwicklung BI,INFORM - Institut für Operations Research und Management GmbH,"Aachen, Deutschland",On-site and limited remote,Paid relocation,,"javascript,typescript,node.js,angularjs,rest"
Problem Solution Manager (m/w/d) für Zentralsteuergeräte,Technica Engineering GmbH,"München, Germany",,Paid relocation,€48k - 70k,"can-bus,ethernet,jira,c"
DevOps Engineer (m/w/d) für Industrieriesen in Jülich gesucht!,Trenkwalder Personaldienste GmbH Deutschland,"Jülich, Deutschland",,,€50k - 60k,"azure,devops,jenkins,kubernetes"
Software Quality Engineer (m/f),Tricentis GmbH,"Wien, Austria",,,€35k - 50k,"testing,agile,c#,.net"
JAVA DEVELOPER,Oxigent Technologies,"Barcelona, Spain",,,€33k - 40k,"java,java-ee"
Programador ABAP,Grupo norconsulting,"Santander, Spain",,,,
DESARROLLADORES Y ANALISTAS JAVA SPRING Y ANGULAR,Luca TIC,"Madrid, Spain",,,,"java,spring,spring-mvc"
Software Developer Power BI,GRUPO AVALON,"Madrid, Spain",,,,
JEFE DE PROYECTO/ API/ MICROSERVICIOS  (PK16),"Mensoft Consultores, S.L","Madrid, Spain",,,,api
Data Scientist US (m/f),relayr GmbH,"Chicago, IL",,,,"machine-learning,deep-learning,python,anomaly-detection,java"
Desarrollador .NET Cliente Final,Walters People,"Las Rozas de Madrid, Spain",,,,".net,javascript,html"
Desarrollador Node Javascript,Walters People,"Madrid, Spain",,,€36k - 45k,"reactjs,javascript"
Frontend developer - global health data platform,DevOtta AS,"Otta, Norway",Remote,Paid relocation,,"javascript,html,css,json,reactjs"
"Senior Systems Administrator (Washington, D.C. or U.S. Remote)",Wallethub,No office location,Remote,,$110k - 160k,"linux,aws,unix,sysadmin"
Senior Android Engineer,LiveLike,"Gurugram, India",,,,"android,mobile,sdk,kotlin,video-streaming"
Senior Java Developer - Remote,Wallethub,No office location,Remote,,,"java,spring,mysql"
HOSPITAL INFORMATION SYSTEMS ADMINISTRATOR,"KNOX COMMUNITY HOSPITAL
                via
PandoLogic","Mount Vernon, OH",,,,project-management
IS Network Administrator,"ARIZONA COMMUNITY PHYSICIANS
                via
PandoLogic","Tucson, AZ",,,,web-services
Developers and Engineers,"Hcl Global Systems, Inc
                via
PandoLogic","Farmington, MI",,,,".net,testing,selenium"
Information Services Director,"Central Peninsula Hospital
                via
PandoLogic","Soldotna, AK",,,,"web-services,security"
Incorporamos Developers JAVA,SUNION SERVICIOS DE CONSULTORIA EMPRESARIAL SL.,"Málaga, Spain",,,,"java,java-ee"
Medior .NET developer,SII Belgium,"Sint-Lambrechts-Woluwe, Belgium",On-site and limited remote,,,".net,c#,asp.net,mvc,html"
Developer Microstrategy,Jumbo Supermarkets,"Veghel, Netherlands",,Paid relocation,,"microstrategy,data-modeling,data-warehouse"
Principal Software Engineer,TomTom,"Ghent, Belgium",,Paid relocation,,"java,agile,testing,automated-deployment,bigdata"
Software Engineer,Rho AI,No office location,Remote,,,"python,single-page-application,sql,nosql,docker"
Bored of working on CRUD apps? Get paid to make hyper-casual web games!,Koji - Web App Development Platform,No office location,Remote,,,"javascript,html5,progressive-web-apps,html5-canvas,p5.js"
Senior Full Stack Software Engineer (React Apollo Graphql Python Docker Django),FineTune Learning,No office location,Remote,,,"python,docker,graphql,jest,reactjs"
"Product Manager, Technical",Mercari,"Tokyo, Japan",,Paid relocation,,"agile,product,data-modeling,product-management"
QA Automation Engineer,TaxJar,No office location,Remote,,,"qa,automation,testing,ruby,javascript"
Senior Developer BW/4HANA,Jumbo Supermarkets,"Veghel, Netherlands",,Paid relocation,,"sapbw,abap,hana"
Principal Java developer,Jumbo Supermarkets,"Veghel, Netherlands",,Paid relocation,€55k - 70k,"java,unit-testing,microservices,amazon-web-services,continuous-deployment"
Senior Developer CAR/HANA,Jumbo Supermarkets,"Veghel, Netherlands",,Paid relocation,,"pos,hana,sap,abap"
Senior Frontend Developer,Jumbo Supermarkets,"Veghel, Netherlands",,Paid relocation,€55k - 63k,"vue.js,frontend,scrum,microservices,javascript"
QA Engineer - Product Development,Backbase,"Amsterdam, Netherlands",,Paid relocation,,"qa,java,selenium,rest-assured,soap"
Mobile developer,Mobiquity Europe,"Amsterdam, Netherlands",,Paid relocation,,"ios,android,kotlin,java,swift"
"frontend developer Angular - male, female, diverse",Akelius GmbH,"Berlin, Deutschland",,Paid relocation,,"angular,typescript,less,sass,css"
Application Security Engineer,Zapier,No office location,Remote,,,"python,django,graphql,node.js"
Site Reliability Engineer,Balena,No office location,Remote,,,"amazon-web-services,linux"
Build Pipeline Engineer,Balena,No office location,Remote,,,"linux,project-management,node.js"
Windows / UWP Engineer,Sherpany AG,No office location,Remote,,,"windows,mobile,ios"
Ensembl Web Back-end Project Leader,European Bioinformatics Institute (EMBL-EBI),"Hinxton, UK",,Paid relocation,,"project-management,api,continuous-integration,agile"
(Senior)Software Engineer C++ for an Adaptive Automated Driving Platform (f/m/x),BMW Group,"München, Deutschland",,,,"c++,embedded,linux,embedded-linux,continuous-integration"
Senior Scala Engineer,Luna,"Kraków, Poland",Remote,Paid relocation,"$40k - 120k

                         | 
Equity","scala,akka,scala-cats,git"
Software Engineer (Elixir) - SmartCalcs Team,TaxJar,No office location,Remote,,,"elixir,phoenix,postgresql,amazon-web-services,saas"
PHP / Symfony Developer (m/f/d),"AVANTGARDE - ""Creating Fans""","München, Deutschland",,Paid relocation,€55k - 65k,"php,symfony,doctrine,mysql,elasticsearch"
Cloud Integration Architect,Slalom  Seattle,"Chicago, IL",On-site and limited remote,Paid relocation,$120k - 165k,"cloud,boomi,mulesoft,apigee,java"
Cloud - Principal Engineer/Area Lead - Billing,Elastic,No office location,Remote,,,"elasticsearch,python,saas,billing"
DevOps Engineer,Salto Keys as a Service,"Amsterdam, Netherlands",On-site and limited remote,Paid relocation,,"docker,ansible,.net,sysadmin,terraform"
Software Engineer,Criteo,"Paris, France",,Paid relocation,€50k - 90k,"c#,scala,typescript"
IT Systems Engineer,European Molecular Biology Laboratory (EMBL),"Barcelona, Spanien",,Paid relocation,,"sysadmin,vmware,linux,lda,windows"
Senior Frontend Developer (JavaScript/React/Vue)  (m/f/d),Tillhub,"Berlin, Deutschland",,Paid relocation,€50k - 70k,"javascript,reactjs,vue.js"
Senior Frontend Engineer Elm (m/f/d),e-bot7 GmbH,"München, Germany",,Paid relocation,,"elm,ecmascript-6,html5,css3,javascript"
Head of Technical Content,Meeshkan,"Helsinki, Finland",On-site and limited remote,Paid relocation,"€40k - 70k

                         | 
Equity","pen,coffee"
Solutions Architect Europe (f/m/d),Silexica,"Köln, Deutschland",,Paid relocation,Equity,"embedded,c++,fpga,rtos"
Web Developer,European Molecular Biology Laboratory (EMBL),"Heidelberg, Deutschland",,Paid relocation,,"php,html,javascript,css,xml"
Web Backend Developer,European Molecular Biology Laboratory (EMBL),"Heidelberg, Deutschland",,Paid relocation,,"php,javascript,sql,database,python"
Senior React Developer (Remote),X-Team,No office location,Remote,,,"reactjs,react-redux,typescript,javascript,webpack"
"Senior Java Backend Engineer - Restaurant (f/m/d) Berlin, Germany",Delivery Hero SE,"Berlin, Germany",,Paid relocation,,"java,kotlin,go,typescript,nosql"
Platform Software Engineer: Help fight cancer with AI,Optellum,"Oxford, UK",,Paid relocation,,"python,agile,automation,continuous-delivery"
Data Analyst [Digital Manufacturing Platform],3D Hubs,"Amsterdam, Netherlands",On-site and limited remote,Paid relocation,"€40k - 50k

                         | 
Equity","sql,looker,segment,web-analytics,data-analysis"
DevOps / SRE (Remote role),Platform.sh,No office location,Remote,,,"python,symfony2,azure"
"Senior Software Engineer, Data",Hotjar,No office location,Remote,,€70k - 90k,"postgresql,apache-kafka,amazon-kinesis,tableau,python"
Tech Lead Mobile Applications (m/f/d),internetstores GmbH,"Stuttgart, Deutschland",,Paid relocation,,"ios,javascript,android"
Django Engineer (m/f) for Germany's leading local marketing platform,RegioHelden GmbH,"Stuttgart, Germany",,Paid relocation,,"python,django"
DevOps / Site Reliability Engineer (m/w/x),RegioHelden GmbH,"Stuttgart, Germany",,Paid relocation,€50k - 64k,"python,postgresql,puppet,docker,ansible"
Web Front-End Developer (Relocation to Berlin),Commencis,"İstanbul, Turkey",,Paid relocation,,"javascript,react.js,redux,html5,css3"
(Senior) Server Developer - Games Technology,Rovio Entertainment Ltd.,"Helsinki, Finland",,Paid relocation,,"c#,.net"
Small Talk Developer,CCK Financial Solutions Pty Ltd,"Perth, Australia",,Paid relocation,,"gemstone,smalltalk,visualworks"
Senior Full Stack Engineer (Java and React) for Order Management,Zalando SE,"Berlin, Germany",On-site and limited remote,Paid relocation,,"reactjs,java,rest"
FrontEnd Engineer [Angular; NGRX / Redux],3D Hubs,"Amsterdam, Netherlands",,Paid relocation,"€40k - 50k

                         | 
Equity","angularjs,redux,reactjs,ngrx,python"
Front End Engineer Team Lead,THE CHOPE GROUP PTE LTD,Singapore,,,SGD 90k - 120k,"javascript,ruby-on-rails,html,css,vue.js"
Data Scientist (Economist),THE CHOPE GROUP PTE LTD,Singapore,,,SGD 60k - 96k,"r,python,sql"
R Developer,YouGov,No office location,Remote,,,"r,shiny,python,etl"
Software Engineer - Data & Production Backend,Yelp,"London, UK",,Paid relocation,,"cassandra,amazon-web-services,kubernetes,elasticsearch"
(Senior) Backend Software Engineer - Python (f/m/d) - ASP,Delivery Hero SE,"Berlin, Germany",,Paid relocation,,"glide-golang,python,go"
DevOps Engineer,PropertyGuru Pte Ltd,Singapore,,Paid relocation,SGD 72k - 96k,"amazon-web-services,web-services,mysql,kubernetes"
iOS Developer,PropertyGuru Pte Ltd,Singapore,,Paid relocation,SGD 72k - 96k,"ios,objective-c,mobile"
Senior Full-Stack Developer | 100% Remote | (US Only),GovSpend,No office location,Remote,,,"reactjs,javascript,node.js,functional-programming,mobx"
Software Engineer (Linux Graphics Driver),Imagination Technologies,"Kings Langley, UK",,Paid relocation,,"c,linux"
Senior .NET Software Engineer,Zuhlke Engineering Hongkong,Hong Kong,,,,".net,c#,oop,tdd,design-patterns"
"DevOps Engineer, network experience - male, female, diverse",Akelius GmbH,"Berlin, Deutschland",,Paid relocation,,"azure,python,django,devops,kubernetes,sysadmin"
DevOps Engineer,First Orion,"Dubai, United Arab Emirates",,Paid relocation,,"amazon-web-services,linux,devops,hadoop"
Integration Engineer,First Orion,"Dubai, United Arab Emirates",,Paid relocation,,"web-services,java,c#,rest,sql"
Embedded Software Engineer - POSIX RTOS (Madrid OR Barcelona),Silicon Gears SL,"Madrid, Spain",,Paid relocation,,"c,qnx,embedded-linux,shell"
Python Developer,YouGov,No office location,Remote,,$75k - 100k,"python,django,postgresql,mongodb,cherrypy"
Senior WordPress Developer (Remote),X-Team,No office location,Remote,,,"wordpress,php"
Backend Engineer Scala for Invoice Management,Zalando SE,"Berlin, Germany",,Paid relocation,,"scala,kotlin,java,kubernetes"
(Senior) Client Developer - Games Technology,Rovio Entertainment Ltd.,"Helsinki, Finland",,Paid relocation,,"python,c++,objective-c,java"
Mid-level Front-end Developer (react/redux/typescript),LeasePlan,"Amsterdam, Netherlands",,Paid relocation,€40k - 50k,"reactjs,redux,react-native,react-redux,typescript"
Senior Front-end Developer (react/redux/typescript),LeasePlan,"Amsterdam, Netherlands",,Paid relocation,€50k - 70k,"reactjs,redux,react-native,react-redux,typescript"
C++ Software Developer,All Options,"Amsterdam, Netherlands",,Paid relocation,,"c++,python"
"Microsoft Dynamics NAV Technical Consultant (m/f/d) - Munich, Germany",Westwing Home & Living,"München, Deutschland",,Paid relocation,,"microsoft-dynamics-nav,sql"
"Senior Software Engineer, Backend",Hotjar,No office location,Remote,,€70k - 90k,"python,postgresql"
Senior Backend Programmer (Stockholm Studio),Rovio Entertainment Ltd.,"Stockholm, Sweden",,Paid relocation,,"server,c#"
"Hybrid Mobile Developer (Cordova/Phonegap, Javascript, ES6)","Unu
                via
Troi","Berlin, Germany",,,€50k - 65k,"mobile,cordova,ecmascript-6,javascript,hybrid-mobile-app"
Principle Full Stack Java Developer,ASML,"Veldhoven, Netherlands",,Paid relocation,,"java,user-interface,python,backend"
Database Administrator (PostgreSQL),Paxful,"New York, NY",,,,"postgresql,amazon-rds,ansible,terraform,continuous-integration,sysadmin"
Research Engineer - Artificial Intelligence,Bloomberg LP,"London, UK",,Paid relocation,,"machine-learning,nlp,artificial-intelligence,python,statistics"
"Senior Application Developer - (Go, Python, Java, Scala)",Memorial Sloan Kettering Cancer Center,"New York, NY",,,,"scala,python,go,java"
SRE - Market Data,Bloomberg LP,"London, UK",,Paid relocation,,"sre,c++,java,python,devops"
Senior Frontend Engineer - Consumer (f/m/d),Delivery Hero SE,"Berlin, Germany",,Paid relocation,,"javascript,react,microfrontend,frontend"
"Digital Technology Engineer - Cloud, Group Digital",IKEA Retail,"Malmö, Sweden",,Paid relocation,,"cloud,java,azure,terraform"
Senior Node.js Developer (Remote),X-Team,No office location,Remote,,,"node.js,javascript,express"
Senior Go Developer (Remote),X-Team,No office location,Remote,,,"go,machine-learning,python,node.js"
Senior DevOps Engineer (Remote),X-Team,No office location,Remote,,,"devops,amazon-web-services,docker,kubernetes"
Senior PHP/ReactJS Developer,PNDLM,No office location,Remote,,$75k - 100k,"docker,mysql,reactjs,php"
Software Architect (focus PHP),Docler Holding,Luxembourg,,Paid relocation,,"php,mysql,memcached,nosql,redis"
Senior PHP Developer,Docler Holding,Luxembourg,,Paid relocation,,"oop,php,agile,unit-testing"
Senior Java Developer,Docler Holding,Luxembourg,,Paid relocation,,"oop,agile,java,php"
Senior Front-End Developer,Docler Holding,Luxembourg,,Paid relocation,,"javascript,reactjs,oop,redux,typescript"
IT Security Specialist,Docler Holding,Luxembourg,,Paid relocation,,"security,testing,php"
Head of Development (Luxembourg),Docler Holding,Luxembourg,,Paid relocation,,"php,microservices,reactjs"
Business Analyst (Web),Docler Holding,Luxembourg,,Paid relocation,,"user-interface,user-experience"
Senior iOS Developer,Neybox Digital,No office location,Remote,,€30k - 50k,"ios,objective-c,swift"
Data Analytics Manager - Product,Wildlife,"State of São Paulo, Brazil",,,,"sql,pyspark,presto,python,r"
Machine Learning Engineer,Wildlife,"State of São Paulo, Brazil",,Paid relocation,,"machine-learning,luigi,python,scala,bigdata"
Infrastructure/Site Reliability Engineer,Wildlife,"State of São Paulo, Brazil",,Paid relocation,,"kubernetes,apache-kafka,mongodb,redis,cassandra"
Experienced Backend Engineer - Ruby,Theorem,No office location,Remote,,,"ruby,postgresql,sequel,cuba,sinatra"
Back End Developer (CE),Golden Equator Consulting,Singapore,,,SGD 36k - 60k,"rabbitmq,kafka,redis,linux,apache"
Experienced Backend Engineer - Go,Theorem,No office location,Remote,,,"go,reactjs,api-design"
Back End Developer (CR),Golden Equator Consulting,Singapore,,,SGD 36k - 60k,"postgresql,apache,redis,linux"
Software Engineer III,J.B. Hunt Transport,"Lowell, AR",On-site and limited remote,Paid relocation,,"java,springboot,angular,azure,reactjs"
"Software Engineer, Productivity Engineering",Mercari,"Tokyo, Japan",,Paid relocation,,"go,kubernetes,google-cloud-platform,bazel,circleci"
React Native Engineer,"Codelitt, Inc.",No office location,Remote,,$45k - 80k,"android,ios,mobile,react-native"
Android/iOS Engineer,"Codelitt, Inc.",No office location,Remote,,$45k - 80k,"android,ios,mobile,react-native"
Senior PHP 7 Developer,Userlane,"München, Germany",On-site and limited remote,Paid relocation,€48k - 70k,"php,symfony,doctrine2,docker,rest"
Senior Java Engineer (d/f/m),AUTO1,"Berlin, Germany",,Paid relocation,,"java,amazon-web-services,spring-boot,hibernate"
Expert PHP Engineer (d/f/m),AUTO1,"Berlin, Germany",,Paid relocation,,"php,laravel,postgresql,mysql,symfony"
Expert Java Engineer (d/f/m),AUTO1,"Berlin, Germany",,Paid relocation,,"java,spring-boot,rest,microservices"
Data Science Course Mentor,Thinkful Inc.,No office location,Remote,,$10k - 30k,"sql,python"
Data Analytics Course Mentor,Thinkful Inc.,No office location,Remote,,,"python,sql,tableau"
BI Engineer,TaxJar,No office location,Remote,,,"postgresql,ruby,tableau,google-sheets,amazon-athena"
iOS Developer,komoot,No office location,Remote,,,"ios,objective-c,swift,watch-os,iphone"
Android Developer,komoot,No office location,Remote,,,"android,mobile,java,kotlin"
Backend Engineer (Scala+),Sharethrough,"San Jose, CA",,Paid relocation,,"scala,amazon-web-services,lambda,microservices,distributed-system"
Backend Engineer (Scala+),Sharethrough,"San Francisco, CA",On-site and limited remote,Paid relocation,,"scala,amazon-web-services,python"
Backend Engineer (Scala+),Sharethrough,"San Francisco, CA",,Paid relocation,,"scala,amazon-web-services,lambda,microservices,distributed-system"
Software Integrator,"Luxoft, a DXC Technology Company","Friedrichsdorf, Germany",,Paid relocation,,"c++,embedded-linux,docker,integration,yocto"
Python Software Engineer,trivago N.V.,"Amsterdam, Netherlands",,Paid relocation,,"python,aws-lambda,amazon-ec2,amazon-kinesis,amazon-web-services"
IT Service Desk Assistant,UNOPS,"Bangkok, Thailand",,,,"clojure,security"
Project Manager (Remote),X-Team,No office location,Remote,,,"scrum,agile"
PHP / Symfony Developer (m/f/d),"AVANTGARDE - ""Creating Fans""","München, Deutschland",,Paid relocation,€55k - 65k,"php,symfony,doctrine,mysql,elasticsearch"
Senior Big Data Engineer,"Nativo, Inc","El Segundo, CA",,,,"machine-learning,hadoop,python,scala,apache-spark"
DevOps Engineer,"Cardinal Financial Company, LP",No office location,Remote,,,"devops,docker,amazon-web-services,azure"
Android Developer - New Mobility (m/f/d),FREE NOW,"Hamburg, Germany",,Paid relocation,,"android,kotlin,java,mvp"
"Solutions Engineer, Analytics",CoEnterprise,No office location,Remote,,,"tableau,tableau-server,analytics"
Field Operations Engineer,Revl,No office location,Remote,,Equity,"linux,bash,docker"
Front-end Developer (react/redux/typescript),LeasePlan,"Amsterdam, Netherlands",,Paid relocation,€50k - 70k,"reactjs,redux,react-native,react-redux,typescript"
Senior Python Developer,Xapo,No office location,Remote,,Equity,"python,flask,django,redis,mongodb"
Android Senior Engineer - Mature Engagement (Spaces Team),N26,"Berlin, Germany",,Paid relocation,,"android,mobile,reactive-programming,kotlin"
Senior DevOps (IaaC) (m/f/x),HelloFresh,"Berlin, Germany",,Paid relocation,,"kubernetes,terraform,amazon-web-services,ansible,go,sysadmin"
Senior Site Reliability Engineer (SRE) (m/f/x),HelloFresh,"Berlin, Germany",,Paid relocation,,"terraform,kubernetes,prometheus,docker,go,sysadmin"
Senior Backend Software Engineer - Kotlin (f/m/d),Delivery Hero SE,"Berlin, Germany",,Paid relocation,,"java,kotlin,spring"
Fullstack Engineer - Search Quality,Zalando SE,"Berlin, Germany",,Paid relocation,,"go,typescript,http,reactjs,amazon-web-services"
Senior Frontend Engineer,Babbel (Lesson Nine GmbH),"Berlin, Germany",,Paid relocation,,"javascript,reactjs,react-redux,tdd,bdd"
"Scala Developer, Amsterdam",De Persgroep Nederland B.V.,"Amsterdam, Netherlands",,Paid relocation,€50k - 65k,"scala,amazon-web-services,event-sourcing,akka,functional-programming"
Technical Product Owner (CRM),Runtastic,"Linz, Austria",,Paid relocation,€39k - 49k,"javascript,project-management,php,ruby"
Senior Ruby Software Engineer,On The Beach,"Manchester, UK",,Paid relocation,Equity,"ruby,ruby-on-rails,agile"
Senior Full Stack Developer,TransferWise,Singapore,,Paid relocation,"SGD 80k - 145k

                         | 
Equity","reactjs,spring,java"
Senior Blockchain Developer,BOTLabs GmbH,"Berlin, Deutschland",,Paid relocation,€60k - 90k,"rust,substrate,blockchain"
Drupal Developer with React Experience,Accella,No office location,Remote,,$70k - 100k,"drupal,reactjs,react-native,drupal-8,javascript"
Mobile Front-end Developer (Hybrid),Backbase,"Amsterdam, Netherlands",,Paid relocation,,"angularjs,javascript,hybrid-mobile-app,typescript,web-component"
Lead GPU/GPGPU programmer,Soul Machines Limited,"Auckland, New Zealand",,Paid relocation,,"c++,cuda,gpgpu,opengl"
Senior Software Engineer - Data & Analytics,Zendesk,"Dublin, Ireland",,Paid relocation,Equity,"linux,python,devops,kafka,amazon-web-services"
iOS Engineer (m/f/d),Bonial International GmbH,"Berlin, Germany",On-site and limited remote,,€45k - 70k,"ios,objective-c,swift,amazon-web-services,appium"
"Awesome Senior Web-App Developer (Node.js, PHP, React)",Walls.io,"Wien, Austria",,,€46k - 56k,"reactjs,node.js,php"
(Senior) React.js Developer (m/w/d),Gnosis Service GmbH,"Berlin, Germany",On-site and limited remote,Paid relocation,€55k - 70k,"react.js,flux,redux,ethereum"
iOS Engineer (m/w/d),Gnosis Service GmbH,"Berlin, Germany",,Paid relocation,€60k - 72k,"mobile,algorithm,ios,swift,ethereum"
Software Engineer - Finance Technology (Go/Python),Zalando SE,"Berlin, Germany",,Paid relocation,,"amazon-web-services,cloud,python,go"
Software Engineer - Personalization (Scala),Zalando SE,"Berlin, Germany",,Paid relocation,,"scala,cassandra,apache-spark,mongodb,amazon-web-services"
Data Engineer,Supermercato24,No office location,Remote,,,"mysql,data-warehouse,etl,bigdata,infrastructure"
"Our First ""Devops"" Engineer (Lead/Hands on Managerial)",The Quantium Group,"Sydney, Australia",,Paid relocation,,"hadoop,apache-spark,cloud,devops,continuous-integration"
R Developer,YouGov,No office location,Remote,,,"r,shiny,python,etl"
Automotive Infotainment and Digital Cockpit Application Developer,"Luxoft, a DXC Technology Company","Berlin, Germany",,Paid relocation,,"c++,yocto,linux,embedded,c,sysadmin"
Senior Software Engineer C++,Zurich Instruments AG,"Zürich, Switzerland",,Paid relocation,,"c++14,c++17,boost,matlab,python"
"Senior Software Engineer, Inventory",Quantcast,"London, UK",,Paid relocation,Equity,"java,hadoop,distributed-computing,mapreduce,apache-spark"
"Data Scientist - Pricing, Data & Analytics, Group Digital",IKEA,"Vintrie, Sweden",,Paid relocation,,"python,machine-learning,data-science"
develop a Cloud-based product for 5 million users!,Aliz Tech Kft.,"Budapest, Hungary",On-site and limited remote,,€28k - 36k,"java,cloud,gcp,google-cloud-platform,sql"
Senior Software Engineer C++ for Automotive Platforms,TomTom,"Eindhoven, Netherlands",,Paid relocation,,"c++,java,python,qnx,linux"
Senior iOS Developer,Neybox Digital,No office location,Remote,,€30k - 50k,"ios,objective-c,swift"
Data Engineer-Remote,SemanticBits,No office location,Remote,,,"apache,machine-learning,algorithm"
Medical Statistician,Wellcome Sanger Institute,"Cambridge, UK",,Paid relocation,£37k - 44k,"stata,r,statistics"
C++ Software Engineer,Flow Traders,"Amsterdam, Netherlands",,Paid relocation,,"linux,netbeans,qt,c++11,git"
Senior Speech Processing Engineer,TMW Center at the University of Chicago,"Chicago, IL",Remote,,,"audio,speech,signal-processing,machine-learning,voice-recognition"
Senior .NET Software Engineer,ISG Personalmanagement GmbH,"Vienna, Austria",On-site and limited remote,Paid relocation,€55k - 75k,"c#,.net,asp.net,asp.net-core,azure"
Front-end Engineer (React),MessageBird,"Amsterdam, Netherlands",,Paid relocation,,"reactjs,javascript,css,git,package-management"
Senior Android Software Engineer,Lalamove,"Kowloon, Hong Kong",,Paid relocation,$45k - 90k,"android,java,mobile,kotlin,architecture"
Software Engineering Team Lead - Customer Applications,Lalamove,"Kowloon, Hong Kong",,Paid relocation,$54k - 105k,"ios,android,lead"
Mid-Level/Senior Backend Golang Engineers,Delivery Hero SE,"Berlin, Germany",,Paid relocation,,"php,go,microservices,mysql,elasticsearch"
Senior Agile Java Developer,"Hays Specialist Recruitment Ltd
                via
Hays plc","London, UK",,,,"java,spring,spring-mvc"
Data Engineer,Gemini,"New York, NY",,Paid relocation,Equity,"python,r,etl,java,apache-kafka"
Backend Java Engineer - High Transactional Payments - Stockholm,iZettle,"Stockholm, Sweden",,,,"java,web-services,kotlin,docker,postgresql"
Software Engineer - Data & Production Backend,Yelp,"London, UK",,Paid relocation,,"cassandra,amazon-web-services,kubernetes,elasticsearch"
Software engineer looking to grow into a more strategic role?,Arm,"Cambridge, UK",,Paid relocation,,"c++,python,cpu,gem5,open-source"
Full stack Developer (Scala),Vandebron,"Amsterdam, Netherlands",,Paid relocation,,"agile,microservices,functional-programming"
Full Stack Engineer (Singapore),Wego,Singapore,,Paid relocation,SGD 36k - 72k,"java,amazon-web-services,automation"
(Senior)Software Engineer C++ for an Adaptive Automated Driving Platform (f/m/x),BMW Group,"München, Deutschland",,,,"c++,embedded,linux,embedded-linux,continuous-integration"
Clinical Data Manager,Ascension,"Austin, TX",,,,sql
Software Development Engineer,Amazon,"Seattle, WA",,,,"c++,c,java"
Family Law -Law Clerk/ Legal Assistant Hybrid,"Hays
                via
Hays plc","Toronto, ON, Canada",,,,trial
Software Engineer,McKinsey & Company,"Chicago, IL",,,,"reactjs,agile,cloud,node.js"
Low Latency C++ Developer,Akuna Capital,"Sydney, Australia",,Paid relocation,,"c++,c++14,c++11,performance,low-latency"
Python Developer- Trading Infrastructure,Akuna Capital,"Sydney, Australia",,Paid relocation,,"python,data-retrieval,datasource,data-processing,javascript"
Test Engineer,Magnopus,"Los Angeles, CA",,,,"testing,qa,automated-tests,c#,.net"
Front End Engineer,Pendo,"Raleigh, NC",,Paid relocation,,"javascript,vue.js,highcharts,d3.js,angularjs"
Unity Software Engineer,Magnopus,"Los Angeles, CA",,,,"c++,c#,unity3d,.net"
Senior Java Software Deveoper,Ultimate Software,"Alpharetta, GA",,Paid relocation,,"java,javascript,typescript,mysql,angularjs"
Full Stack Software Engineer,Ultimate Software,"Fort Lauderdale, FL",,Paid relocation,,"java,javascript,c#,typescript,node.js"
