Job Title,Company,Location,Remote,Relocation,Compensation,tags
UX Designer (m/w/d),GEDANKENtanken GmbH,"Cologne, Germany",,,,user-experience
Programador SISNET,Soltel,"Madrid, Spain",,,,java
Consultor/a Qlikview,Soltel,"Valencia, Spain",,,,
Analista Programador/a,Ibermática,"Aramaio, Spain",,,,
Analista Programador/a,Ibermática,"Arrasate, Spain",,,,
Desarrollador Full Stack,Soltel,"Seville, Spain",,,,node.js
Desarrollador .Net Front / BAck,E2K2 Netechnology,"Seville, Spain",,,€24k - 27k,.net
Data Engineer,Exputec GmbH,"Wien, Österreich",On-site and limited remote,,,"python,linux,sql,database,docker"
Java Backend Developer,Urbis B2B Online & Destination Services,"Palma, Spain",,,,java
Analista Programador Angular,Grupo norconsulting,"Bilbao, Spain",,,,angularjs
PROGRAMADOR WEB (BACK-END/FRONT-END) – PROGRAMADOR PHP / MAQUETADOR HTML/CSS,GENEI,"Oviedo, Spain",,,,"php,css,html"
Analista BI - MicroStrategy,Grupo Piñero,"Palma, Spain",,,,
Data Infrastructure Engineer,Kambi,"Stockholm, Sweden",,Paid relocation,,"linux,python,sysadmin"
IT Security Engineer (m/f/d) - Network/System/Operation Security,Brainloop AG,"München, Deutschland",,,,"security,sysadmin,cryptography,infrastructure"
Front-End Engineer,Buildit@Wipro Digital,"Edinburgh, UK",,,£45k - 75k,"javascript,reactjs,redux,angularjs,node.js"
"(Senior) SRE / DevOps Engineer (Automation, Tooling, Kapitan, Kubernetes, GCP)",Synthace Ltd.,"London, UK",,,"£80k - 120k

                         | 
Equity","automation,kubernetes,devops,sysadmin"
Programador / Analista Programador SAP Portal,E2K2 Netechnology,"Seville, Spain",,,€27k - 33k,
Programador/a Java,Grupo Piñero,"Paterna, Spain",,,,"java,java-ee"
Mid-Level Frontend Engineer | React | Smart Vending | 40-50k,Social Vend,"London, UK",,,"£40k - 50k

                         | 
Equity","reactjs,typescript,javascript"
Security & System Engineer (m/f/d),Rocket Internet,"Berlin, Germany",,,,"openldap,active-directory,tcp-ip,dns,tls1.2"
Consultor Business Intelligence,ABAST,"Barcelona, Spain",,,,"tsql,etl,web-services"
Desarrollador FrontEnd,Tuyú Technology,"Zaragoza, Spain",,,,"angularjs,javascript"
Senior Developer AngularJs -- URGE,AARON FORMACIÓN Y CONSULTORÍA,"Madrid, Spain",,,,"angularjs,node.js"
Administrador/a de Sistemas Linux-LPIC,ALTEN TIC,"Madrid, Spain",,,,"linux,python"
Engineering Team Lead - Zendesk Explore (analytics product),Zendesk,"Dublin, Ireland",,Paid relocation,,"ruby-on-rails,agile,java,amazon-web-services,scala"
Full Stack Software Engineer,Lumanu,No office location,Remote,,$90k - 170k,"clojure,clojurescript,reagent,react,postgresql"
Remote Data Engineer (USA),VividCortex: Database Performance Monitoring,No office location,Remote,,,"redis,amazon-web-services,mysql,apache-kafka,time-series"
Dev Engineer - Oracle,ING,"Amsterdam, Netherlands",,Paid relocation,,"oracle,sql,java,svn,linux"
Senior DevOps Engineer - Global Engineering (f/m/d),Delivery Hero SE,"Berlin, Germany",,Paid relocation,,"amazon-web-services,google-cloud-platform,kubernetes,docker"
Javascript Full Stack Developer (Remote or On site),iFit,No office location,Remote,,,"reactjs,javascript,postgresql,nosql"
DLT Development Engineer (Blockchain/Cryptography) - Amsterdam,ING,"Amsterdam, Netherlands",,Paid relocation,,"blockchain,kotlin,cryptography,solidity,go"
Medical Statistician,Wellcome Sanger Institute,"Cambridge, UK",,Paid relocation,£37k - 44k,"stata,r,statistics"
Principal Software Developer,Wellcome Sanger Institute,"Hinxton, UK",,Paid relocation,£49k - 58k,"python,sql"
Senior Backend Engineer (Go) (f/m/d),fromAtoB,"Berlin, Germany",,Paid relocation,,"go,cloud,python"
