Job,Company,City,Country,Company Link,Job Link,Job Category,Date
Go/Golang Developer with cloud experience,Plugin Africa Ltd ,Mombasa,KE,http://www.plugin-Africa.com,https://ihub.co.ke/jobs/view/4826/go-golang-developer-with-cloud-experience,Developer,20th Aug 2019
Go/Golang Developer with cloud experience,Plugin Africa Ltd ,Mombasa,KE,http://www.plugin-Africa.com,https://ihub.co.ke/jobs/view/4826/go-golang-developer-with-cloud-experience,Developer,20th Aug 2019
Technical Sales Consultant,Incentro ,Nairobi,KE,http://Incentro.co.ke,https://ihub.co.ke/jobs/view/4624/technical-sales-consultant,Sales,12th Feb 2019
Technical Sales Consultant,Incentro ,Nairobi,KE,http://Incentro.co.ke,https://ihub.co.ke/jobs/view/4624/technical-sales-consultant,Sales,12th Feb 2019
Software developer,Incentro ,Nairobi,KE,http://www.incentro.com,https://ihub.co.ke/jobs/view/4745/software-developer,Developer,24th May 2019
Software developer,Incentro ,Nairobi,KE,http://www.incentro.com,https://ihub.co.ke/jobs/view/4745/software-developer,Developer,24th May 2019
Senior AngularJS/Angular and native Developer,Plugin Africa Ltd ,Ukunda,KE,http://https://www.plugin-africa.com,https://ihub.co.ke/jobs/view/4752/senior-angularjs-angular-and-native-developer,Developer,15th Jun 2019
Senior AngularJS/Angular and native Developer,Plugin Africa Ltd ,Ukunda,KE,http://https://www.plugin-africa.com,https://ihub.co.ke/jobs/view/4752/senior-angularjs-angular-and-native-developer,Developer,15th Jun 2019
"Build Great Software, Fast",PayGo Energy ,Nairobi,KE,http://www.paygoenergy.co,https://ihub.co.ke/jobs/view/4747/build-great-software-fast,Developer,4th Jun 2019
"Build Great Software, Fast",PayGo Energy ,Nairobi,KE,http://www.paygoenergy.co,https://ihub.co.ke/jobs/view/4747/build-great-software-fast,Developer,4th Jun 2019
designer (ICT sector),Incentro ,Nairobi,KE,http://Incentro.co.ke,https://ihub.co.ke/jobs/view/4632/designer-ict-sector,Designer,14th Feb 2019
designer (ICT sector),Incentro ,Nairobi,KE,http://Incentro.co.ke,https://ihub.co.ke/jobs/view/4632/designer-ict-sector,Designer,14th Feb 2019
Do you know Javascript? Do you understand Redux? Do you NodeJS?,Touch Inspiration ,Nairobi,KE,http://https://touchinspiration.com,https://ihub.co.ke/jobs/view/4589/do-you-know-javascript-do-you-understand-redux-do-you-nodejs,Developer,14th Jan 2019
Do you know Javascript? Do you understand Redux? Do you NodeJS?,Touch Inspiration ,Nairobi,KE,http://https://touchinspiration.com,https://ihub.co.ke/jobs/view/4589/do-you-know-javascript-do-you-understand-redux-do-you-nodejs,Developer,14th Jan 2019
Technical Lead on Database Development (DATABASE MANAGER as per…,IMPACT - ACTED ,Nairobi - with travel in the Horn,KE,http://www.impact-initiatives.org/,https://ihub.co.ke/jobs/view/4570/technical-lead-on-database-development-database-manager-as-per-organizational-grid,Technical Lead,5th Dec 2018
Technical Lead on Database Development (DATABASE MANAGER as per…,IMPACT - ACTED ,Nairobi - with travel in the Horn,KE,http://www.impact-initiatives.org/,https://ihub.co.ke/jobs/view/4570/technical-lead-on-database-development-database-manager-as-per-organizational-grid,Technical Lead,5th Dec 2018
Mobile App Developer,Amref Health Africa ,Nairobi,Kenya,#,https://ihub.co.ke/jobs/view/2451/mobile-app-developer,developer,10th Dec 2016
Mobile App Developer,Amref Health Africa ,Nairobi,Kenya,#,https://ihub.co.ke/jobs/view/2451/mobile-app-developer,developer,10th Dec 2016
Mobile App Developer,Amref Health Africa ,Nairobi,Kenya,#,https://ihub.co.ke/jobs/view/1088/mobile-app-developer,developer,10th Dec 2016
Mobile App Developer,Amref Health Africa ,Nairobi,Kenya,#,https://ihub.co.ke/jobs/view/1088/mobile-app-developer,developer,10th Dec 2016
