Job,Category,Company,Location,Compensation,Link
Operations Manager,Operations,CoGrammar,Cape Town,,https://angel.co/company/cogrammar/jobs/674922-operations-manager
Education Assistant,Operations,CoGrammar,Cape Town,,https://angel.co/company/cogrammar/jobs/674923-education-assistant
Programming Lecturer (Johannesburg),Operations,CoGrammar,Johannesburg,,https://angel.co/company/cogrammar/jobs/674924-programming-lecturer-johannesburg
Finance Associate,Operations,CoGrammar,Remote,,https://angel.co/company/cogrammar/jobs/674925-finance-associate
EdTech Admissions Consultant,Sales,CoGrammar,Cape Town,$15k – $35k • No equity,https://angel.co/company/cogrammar/jobs/383731-edtech-admissions-consultant
Developer Placements Manager,Sales,CoGrammar,Cape Town,$10k – $50k • No equity,https://angel.co/company/cogrammar/jobs/545843-developer-placements-manager
EdTech Sales Consultant,Sales,CoGrammar,Cape Town,,https://angel.co/company/cogrammar/jobs/674848-edtech-sales-consultant
Head of Education,Software Engineer,CoGrammar,Remote,$20k – $75k • 0.1% – 2.0%,https://angel.co/company/cogrammar/jobs/545839-head-of-education
Code Review Specialist,Software Engineer,CoGrammar,Cape Town,$10k – $40k • No equity,https://angel.co/company/cogrammar/jobs/545841-code-review-specialist
Programming Lecturer (CPT/JHB),Software Engineer,CoGrammar,Cape Town,$15k – $45k • No equity,https://angel.co/company/cogrammar/jobs/545844-programming-lecturer-cpt-jhb
Head of Curriculum and Learning,Other,CoGrammar,Remote,$20k – $75k • 0.1% – 2.0%,https://angel.co/company/cogrammar/jobs/383725-head-of-curriculum-and-learning
Investment Analyst Intern,Other,CoGrammar,New York City,£10k – £22k • 0.1% – 0.3%,https://angel.co/company/cogrammar/jobs/391142-investment-analyst-intern
Product Manager,Other,CoGrammar,London,$30k – $70k • 0.1% – 1.0%,https://angel.co/company/cogrammar/jobs/614253-product-manager
Marketing Manager,Marketing,ELXR,Singapore,$18k – $24k • 0.5% – 1.0%,https://angel.co/company/elxr-1/jobs/386576-marketing-manager
Sports Coach,Operations,ELXR,Singapore,$18k – $24k • No equity,https://angel.co/company/elxr-1/jobs/386579-sports-coach
Head of Sports,Operations,ELXR,Singapore,$18k – $24k • 0.5% – 1.0%,https://angel.co/company/elxr-1/jobs/386581-head-of-sports
Head of Genetics,Operations,ELXR,Singapore,$24k – $36k • 0.5% – 1.0%,https://angel.co/company/elxr-1/jobs/386582-head-of-genetics
Full Stack Developer,Software Engineer,ELXR,Singapore,$36k – $48k • 1.0% – 2.0%,https://angel.co/company/elxr-1/jobs/351967-full-stack-developer
Digital content manager,Marketing,Balancell,Cape Town,$10k – $20k • No equity,https://angel.co/company/balancell-com/jobs/593778-digital-content-manager
Production supervisor,Operations,Balancell,Cape Town,$15k – $25k • No equity,https://angel.co/company/balancell-com/jobs/593775-production-supervisor
Battery assembly production engineer,Software Engineer,Balancell,Cape Town,$10k – $40k • 0.1% – 1.0%,https://angel.co/company/balancell-com/jobs/450775-battery-assembly-production-engineer
Junior Developer,Software Engineer,Balancell,Cape Town,$15k – $20k • No equity,https://angel.co/company/balancell-com/jobs/542192-junior-developer
Senior Software engineer,Software Engineer,Inclusivity Solutions,Cape Town,$40k – $60k • No equity,https://angel.co/company/inclusivity-solutions/jobs/489103-senior-software-engineer
Head of Exploration,Other,United Nations Development Programme (UNDP) South Africa,Pretoria,$52k – $65k • No equity,https://angel.co/company/united-nations-development-programme-undp-south-africa/jobs/506696-head-of-exploration
Head of Solutions Mapping,Other,United Nations Development Programme (UNDP) South Africa,Pretoria,$52k – $65k • No equity,https://angel.co/company/united-nations-development-programme-undp-south-africa/jobs/506699-head-of-solutions-mapping
Head of Experimentation,Other,United Nations Development Programme (UNDP) South Africa,Pretoria,$52k – $65k • No equity,https://angel.co/company/united-nations-development-programme-undp-south-africa/jobs/506703-head-of-experimentation
Marketing Manager,Marketing,Ox Street,Singapore,$2k – $4k • 1.0% – 2.0%,https://angel.co/company/early-stage-new-fashion-marketplace/jobs/610264-marketing-manager
Sneaker authenticator and operational all-star,Operations,Ox Street,Singapore,$2k – $4k • No equity,https://angel.co/company/early-stage-new-fashion-marketplace/jobs/550019-sneaker-authenticator-and-operational-all-star
"Full stack developer | React (Native), digital marketplace",Software Engineer,Ox Street,Singapore,$6k – $7k • 1.0% – 5.0%,https://angel.co/company/early-stage-new-fashion-marketplace/jobs/550011-full-stack-developer-react-native-digital-marketplace
Administration clerk,Operations,Lace Diamond Mine,Virginia,,https://angel.co/company/lace-diamond-mine/jobs/606032-administration-clerk
Administration clerk,Operations,Lace Diamond Mine,Pretoria,$1k – $2k • No equity,https://angel.co/company/lace-diamond-mine/jobs/606033-administration-clerk
Content Manager & Creator,Marketing,Vids,Los Angeles,$50k – $75k • 1.0% – 5.0%,https://angel.co/company/vids/jobs/554825-content-manager-creator
Full Stack Engineer for Mobile App,Software Engineer,Vids,Los Angeles,$75k – $150k • 1.0% – 10.0%,https://angel.co/company/vids/jobs/537810-full-stack-engineer-for-mobile-app
Full Stack Engineer for Mobile App,Software Engineer,Vids,Los Angeles,$75k – $150k • 1.0% – 10.0%,https://angel.co/company/vids/jobs/541813-full-stack-engineer-for-mobile-app
Full stack developer,Software Engineer,Imagine Insurance,Johannesburg,$20k – $80k • 0.0% – 5.0%,https://angel.co/company/imagine-insurance/jobs/630236-full-stack-developer
Senior Webdeveloper,Software Engineer,Jumba,Rotterdam,€45k – €75k • No equity,https://angel.co/company/jumba/jobs/97446-senior-webdeveloper
Marketing & Awareness (Yoda),Marketing,Hi5,Cape Town,$18k – $36k • 0.1% – 1.0%,https://angel.co/company/giveahi5/jobs/388035-marketing-awareness-yoda
Marketing & Awareness  (Intern),Marketing,Hi5,Remote,$4k – $8k • 0.1% – 0.5%,https://angel.co/company/giveahi5/jobs/388037-marketing-awareness-intern
Hi5 Hero (Support) (Nacho Libre),Operations,Hi5,Remote,$13k – $25k • 0.1% – 0.5%,https://angel.co/company/giveahi5/jobs/388008-hi5-hero-support-nacho-libre
Customer Success Ranger (Walker Texas Ranger),Operations,Hi5,Remote,$25k – $50k • 0.1% – 0.5%,https://angel.co/company/giveahi5/jobs/388031-customer-success-ranger-walker-texas-ranger
SDR,Sales,Hi5,Remote,$18k – $36k • 0.1% – 1.0%,https://angel.co/company/giveahi5/jobs/319492-sdr
Mobile Engineer (Macgyver),Software Engineer,Hi5,Remote,$40k – $80k • 0.5% – 2.0%,https://angel.co/company/giveahi5/jobs/388000-mobile-engineer-macgyver
Full Stack Engineer (Mr T),Software Engineer,Hi5,Remote,$40k – $80k • 0.5% – 2.0%,https://angel.co/company/giveahi5/jobs/388003-full-stack-engineer-mr-t
Mobile Engineer Intern,Software Engineer,Hi5,Remote,$10k – $20k • 0.1% – 0.5%,https://angel.co/company/giveahi5/jobs/388014-mobile-engineer-intern
Full Stack Engineer (Intern),Software Engineer,Hi5,Remote,$10k – $20k • 0.1% – 0.5%,https://angel.co/company/giveahi5/jobs/388032-full-stack-engineer-intern
International Sales Manager for a Global Fintech Company,Sales,Alariss,London,$60k – $140k • No equity,https://angel.co/company/alariss/jobs/598007-international-sales-manager-for-a-global-fintech-company
"drivers code10,14(0661500470)",Operations,JOEL GOLD MINE,Free State,$12k – $13k • 2.5% – 5.0%,https://angel.co/company/joel-gold-mine-1/jobs/656458-drivers-code10-14-0661500470
Webinar Sales Representative,Sales,ReturnOnSaas,South Africa,$7k – $10k • No equity,https://angel.co/company/returnonsaas/jobs/643215-webinar-sales-representative
Technical Lead/CTO/Co-Founder,Management,Vemgoo,Cape Town,$0k – $30k • 5.0% – 15.0%,https://angel.co/company/vemgoo/jobs/573869-technical-lead-cto-co-founder
Junior Software Engineer,Software Engineer,Vemgoo,Cape Town,$1k – $3k • No equity,https://angel.co/company/vemgoo/jobs/440663-junior-software-engineer
Senior Frontend Developer,Software Engineer,Vemgoo,Cape Town,$20k – $50k • 0.0% – 6.0%,https://angel.co/company/vemgoo/jobs/490175-senior-frontend-developer
Software Developer,Software Engineer,Vemgoo,Cape Town,€12k – €18k • No equity,https://angel.co/company/vemgoo/jobs/549251-software-developer
Senior Software Engineer,Software Engineer,Vemgoo,Remote,€10k – €50k • 0.0% – 5.0%,https://angel.co/company/vemgoo/jobs/552582-senior-software-engineer
Software Developer,Software Engineer,Vemgoo,Remote,€12k – €18k • 0.0% – 2.0%,https://angel.co/company/vemgoo/jobs/567922-software-developer
Business Brokers,Sales,Teleios Consulting Services,Cape Town,$12k – $80k • No equity,https://angel.co/company/teleios-consulting-services/jobs/435978-business-brokers
Property broker,Sales,Teleios Consulting Services,Cape Town,$12k – $80k • No equity,https://angel.co/company/teleios-consulting-services/jobs/435987-property-broker
Software Developer,Software Engineer,Dalitso Consulting,Cape Town,,https://angel.co/company/dalitso-consulting-1/jobs/420720-software-developer
Software Developer,Software Engineer,Dalitso Consulting,Gauteng,,https://angel.co/company/dalitso-consulting-1/jobs/438069-software-developer
Hiring Software Developers,Software Engineer,Dalitso Consulting,South Africa,$4k – $4k • No equity,https://angel.co/company/dalitso-consulting-1/jobs/438087-hiring-software-developers
Senior C#.NET Software Engineer,Software Engineer,OrderIn,Cape Town,$55k – $75k • No equity,https://angel.co/company/orderin-co-za/jobs/189880-senior-c-net-software-engineer
SEO expert - Part-time,Marketing,RECONO.ME,London,£5k – £15k • No equity,https://angel.co/company/recono-me/jobs/407911-seo-expert-part-time
E-Commerce Manager - Sustainable Electronics @ RECONO.ME,Marketing,RECONO.ME,London,£30k – £50k • No equity,https://angel.co/company/recono-me/jobs/495779-e-commerce-manager-sustainable-electronics-recono-me
Hardware Start-Up Master Technician (Level 3 or above),Operations,RECONO.ME,East London,£30k – £40k • 0.0% – 1.0%,https://angel.co/company/recono-me/jobs/576118-hardware-start-up-master-technician-level-3-or-above
Full-stack developer (part-time),Software Engineer,RECONO.ME,London,£20k – £40k • No equity,https://angel.co/company/recono-me/jobs/405531-full-stack-developer-part-time
Call Center Support,Operations,C3 Connect,McGregor,$22k – $25k • No equity,https://angel.co/company/c3-connect-1/jobs/622140-call-center-support
CTO Co-Founder,Management,OmniPA,Lisbon,No salary • 10.0% – 20.0%,https://angel.co/company/omnipa/jobs/637976-cto-co-founder
Copywriter Internship,Marketing,OmniPA,Remote,No salary • No equity,https://angel.co/company/omnipa/jobs/665422-copywriter-internship
Virtual Executive Assistant,Operations,OmniPA,Remote,€15k – €20k • No equity,https://angel.co/company/omnipa/jobs/585130-virtual-executive-assistant
"Product Manager, Optimization",Other,OmniPA,Cape Town,€10k – €12k • No equity,https://angel.co/company/omnipa/jobs/643120-product-manager-optimization
