Job Title,Company,Location,Job Link,Employment Type,Compensation,Date Posted
Senior Mobile Developer,Recruit Digital,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2337168/senior-mobile-developer-in-cape-town-western-cape-at-recruit-digital,Permanent Intermediate position,"R720,000 - R1,200,000 pa basic salary plus benefits",10/10/2019
Senior .NET Developer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2337133/senior-.net-developer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Senior position,Market Related cost to company incl benefits Neg,09/10/2019
Senior .NET Developer Winforms,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2337129/senior-.net-developer-winforms-in-cape-town-western-cape-at-nigel-frank-international,Permanent Senior position,"R50,000 - R60,000 pm basic salary",09/10/2019
IOS Developer,Hi-Tech Recruitment,"Durban, KwaZulu-Natal",https://www.careerjunction.co.za/jobs/view/2337121/ios-developer-in-durban-kwazulu-natal,Permanent Intermediate position,"R500,000 - R900,000 pa cost to company incl benefits",09/10/2019
BI Backend Software Developer,Headhunters,"Port Elizabeth, Eastern Cape",https://www.careerjunction.co.za/jobs/view/2337091/bi-backend-software-developer-in-port-elizabeth-eastern-cape-at-headhunters,Permanent Senior position,Market Related cost to company,09/10/2019
Rpa Developer,BLOC Placements,"Johannesburg, Gauteng",https://www.careerjunction.co.za/jobs/view/2337077/rpa-developer-in-johannesburg-gauteng,Contract Senior position,Undisclosed basic salary plus benefits,09/10/2019
Senior Cisco Security Engineer,Recru-it,"CPT - CBD, Western Cape",https://www.careerjunction.co.za/jobs/view/2337044/senior-cisco-security-engineer-in-cpt-cbd-western-cape,Permanent Senior position,Market Related cost to company,09/10/2019
Java Developer,Network IT Bruma,"Cape Town: Southern Suburbs, Western Cape",https://www.careerjunction.co.za/jobs/view/2336973/java-developer-in-cape-town-southern-suburbs-western-cape,Permanent Senior position,"R50,000 - R60,000 pm cost to company",09/10/2019
.NET Developer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2336877/.net-developer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Intermediate position,Market Related cost to company Neg,09/10/2019
Your Next .NET Development,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2336818/your-next-.net-development-in-cape-town-western-cape-at-nigel-frank-international,Permanent Senior position,Market Related basic salary plus benefits Neg,08/10/2019
Senior RPG Developer,Network IT Bruma,"Johannesburg North, Gauteng",https://www.careerjunction.co.za/jobs/view/2336501/senior-rpg-developer-in-johannesburg-north-gauteng,Permanent Senior position,"R550,000 - R600,000 pa cost to company",08/10/2019
Senior Back End Developer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2336489/senior-back-end-developer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Senior position,"R50,000 - R60,000 pm basic salary",07/10/2019
Senior Reactjs Developer,Datafin Recruitment,"Mouille Point, Western Cape",https://www.careerjunction.co.za/jobs/view/2336429/senior-reactjs-developer-in-mouille-point-western-cape-at-datafin-recruitment,Permanent Intermediate position,Market Related cost to company,07/10/2019
BI Front End Developer,Headhunters,"Port Elizabeth, Eastern Cape",https://www.careerjunction.co.za/jobs/view/2336422/bi-front-end-developer-in-port-elizabeth-eastern-cape-at-headhunters,Permanent Senior position,Market Related cost to company,07/10/2019
API Developer,Headhunters,"Port Elizabeth, Eastern Cape",https://www.careerjunction.co.za/jobs/view/2336415/api-developer-in-port-elizabeth-eastern-cape-at-headhunters,Permanent Intermediate position,Market Related cost to company,07/10/2019
Senior Architectural Software Developer Back-End,Headhunters,"Port Elizabeth, Eastern Cape",https://www.careerjunction.co.za/jobs/view/2336414/senior-architectural-software-developer-back-end-in-port-elizabeth-eastern-cape-at-headhunters,Permanent Senior position,Market Related cost to company,07/10/2019
Software Developer Muizenburg,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2336228/software-developer-muizenburg-in-cape-town-western-cape-at-nigel-frank-international,Permanent Intermediate position,Market Related basic salary Neg,07/10/2019
Senior Python Developer,MIT Recruitment,"Cape Town CBD, Western Cape",https://www.careerjunction.co.za/jobs/view/2325829/senior-python-developer-in-cape-town-cbd-western-cape,Permanent Senior position,Undisclosed cost to company,04/10/2019
Senior Software Development Engineer IOS,MIT Recruitment,"Cape Town CBD, Western Cape",https://www.careerjunction.co.za/jobs/view/2319262/senior-software-development-engineer-ios-in-cape-town-cbd-western-cape,Permanent Senior position,Undisclosed cost to company,04/10/2019
Full-Stack Developer,MIT Recruitment,"Rondebosch, Western Cape",https://www.careerjunction.co.za/jobs/view/2312767/full-stack-developer-in-rondebosch-western-cape,Permanent Senior position,Undisclosed cost to company,04/10/2019
Developer Ruby on Rails,Parvana,"Cape Town Region, Western Cape",https://www.careerjunction.co.za/jobs/view/2309669/developer-ruby-on-rails-in-cape-town-region-western-cape-at-parvana,Permanent Intermediate position,Market Related cost to company Neg,04/10/2019
Developer Java Senior Contract,Parvana,Belgium,https://www.careerjunction.co.za/jobs/view/2335722/developer-java-senior-contract-in-belgium-at-parvana,Permanent Senior position,Market Related cost to company Neg,04/10/2019
Back-End .NET Developer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2336063/back-end-.net-developer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Senior position,Market Related basic salary Neg,04/10/2019
Copy of Dev Ops Engineer,GoldenRule,"Not specified, Gauteng",https://www.careerjunction.co.za/jobs/view/2336047/copy-of-dev-ops-engineer-in-not-specified-gauteng-at-goldenrule,Permanent Intermediate position,Market Related cost to company Neg,04/10/2019
Senior Software Engineer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2335906/senior-software-engineer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Senior position,Market Related basic salary plus benefits Neg,04/10/2019
Senior Java Developer,ASAP Resources,"Somerset West, Western Cape",https://www.careerjunction.co.za/jobs/view/2317402/senior-java-developer-in-somerset-west-western-cape,Permanent Senior position,"R70,000 - R85,000 pm basic salary",04/10/2019
Full-Stack Java Developer,Nigel Frank International,"Stellenbosch, Western Cape",https://www.careerjunction.co.za/jobs/view/2335881/full-stack-java-developer-in-stellenbosch-western-cape-at-nigel-frank-international,Permanent Senior position,Market Related basic salary plus commission and benefits Neg,03/10/2019
Senior Java Developer,Emerge,"Pretoria CBD, Gauteng",https://www.careerjunction.co.za/jobs/view/2329083/senior-java-developer-in-pretoria-cbd-gauteng-at-emerge,Permanent Senior position,"R950,000 - R960,000 pa basic salary",03/10/2019
Intermediate and Senior C# Developer,Network IT Bruma,"Johannesburg North, Gauteng",https://www.careerjunction.co.za/jobs/view/2335554/intermediate-and-senior-c%23-developer-in-johannesburg-north-gauteng,Permanent Senior position,"R40,000 - R60,000 pm cost to company",02/10/2019
Senior Java Developer,Network IT Bruma,"Cape Town: Southern Suburbs, Western Cape",https://www.careerjunction.co.za/jobs/view/2335549/senior-java-developer-in-cape-town-southern-suburbs-western-cape,Permanent Senior position,"R60,000 - R80,000 pm cost to company incl benefits",02/10/2019
Senior Java Developer,Network IT Bruma,"Cape Town: Southern Suburbs, Western Cape",https://www.careerjunction.co.za/jobs/view/2321197/senior-java-developer-in-cape-town-southern-suburbs-western-cape,Permanent Senior position,"R70,000 - R80,000 pm cost to company incl benefits",02/10/2019
Java Team Lead Senior,Emerge,"Johannesburg, Gauteng",https://www.careerjunction.co.za/jobs/view/2335424/java-team-lead-senior-in-johannesburg-gauteng-at-emerge,Contract Senior position,"R800,000 - R850,000 pa cost to company",02/10/2019
Android Developer,e-Merge IT Recruitment,"Johannesburg, Gauteng",https://www.careerjunction.co.za/jobs/view/2329046/android-developer-in-johannesburg-gauteng,Permanent Senior position,"R600,000 - R900,000 pa cost to company",02/10/2019
Senior Java Developer,E-merge IT Recruitment,"Randburg, Gauteng",https://www.careerjunction.co.za/jobs/view/2315343/senior-java-developer-in-randburg-gauteng-at-e-merge-it-recruitment,Permanent Senior position,"R900,000 - R1,000,000 pa cost to company",01/10/2019
WMS Dynamics AX Developer,Nigel Frank International,"Dubai, United Arab Emirates",https://www.careerjunction.co.za/jobs/view/2335191/wms-dynamics-ax-developer-in-dubai-united-arab-emirates-at-nigel-frank-international,Permanent Senior position,"AED20,000 - AED25,000 pm cost to company",01/10/2019
Fullstack .NET Developer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2335154/fullstack-.net-developer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Intermediate position,Market Related basic salary Neg,01/10/2019
Senior Electronics Firmware Engineer,Network IT Bruma,China,https://www.careerjunction.co.za/jobs/view/2326267/senior-electronics-firmware-engineer-in-china,Permanent Intermediate position,"R900,000 - R960,000 pa cost to company incl benefits",01/10/2019
Back-End .NET Developer,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2335027/back-end-.net-developer-in-cape-town-western-cape-at-nigel-frank-international,Permanent Senior position,Market Related basic salary Neg,30/09/2019
Senior C#.NET Developer,Datafin Recruitment,"Tokai, Western Cape",https://www.careerjunction.co.za/jobs/view/2334958/senior-c%23.net-developer-in-tokai-western-cape-at-datafin-recruitment,Permanent Intermediate position,Market Related cost to company,30/09/2019
Embedded Java Team Lead International Media House,e-Merge IT Recruitment,"Randburg, Gauteng",https://www.careerjunction.co.za/jobs/view/2321242/embedded-java-team-lead-international-media-house-in-randburg-gauteng,Permanent Intermediate position,"R850,000 - R900,000 pa cost to company",30/09/2019
Senior Embedded Java Developer Media House,e-Merge IT Recruitment,"Randburg, Gauteng",https://www.careerjunction.co.za/jobs/view/2321251/senior-embedded-java-developer-media-house-in-randburg-gauteng,Permanent Senior position,"R750,000 - R800,000 pa cost to company",30/09/2019
Technical Lead Java J2EE Microservices Aws Developer L,Emerge,"Johannesburg, Gauteng",https://www.careerjunction.co.za/jobs/view/2328440/technical-lead-java-j2ee-microservices-aws-developer-l-in-johannesburg-gauteng-at-emerge,Permanent Senior position,Undisclosed cost to company,30/09/2019
Senior .NET Developer EE,Datafin Recruitment,"Johannesburg, Gauteng",https://www.careerjunction.co.za/jobs/view/2334756/senior-.net-developer-ee-in-johannesburg-gauteng-at-datafin-recruitment,Permanent Intermediate EE position,Market Related cost to company,27/09/2019
Java Developer,Parvana,"Cape Town Region, Western Cape",https://www.careerjunction.co.za/jobs/view/2132623/java-developer-in-cape-town-region-western-cape-at-parvana,Permanent Intermediate position,Market Related cost to company Neg,27/09/2019
Devops Engineer,Parvana,"Cape Town Region, Western Cape",https://www.careerjunction.co.za/jobs/view/2290790/devops-engineer-in-cape-town-region-western-cape-at-parvana,Permanent Senior position,Market Related cost to company Neg,27/09/2019
Mid Senior Java Developer 4+ Experience,Nigel Frank International,"Cape Town, Western Cape",https://www.careerjunction.co.za/jobs/view/2334512/mid-senior-java-developer-4%2B-experience-in-cape-town-western-cape-at-nigel-frank-international,Permanent Intermediate position,Market Related basic salary plus benefits Neg,26/09/2019
Dynamics AX Developer,Nigel Frank International,"Dubai, United Arab Emirates",https://www.careerjunction.co.za/jobs/view/2334327/dynamics-ax-developer-in-dubai-united-arab-emirates-at-nigel-frank-international,Permanent Senior position,"AED20,000 - AED25,000 pm cost to company",25/09/2019
Senior Devops Engineer,Emerge,"Cape Town CBD, Western Cape",https://www.careerjunction.co.za/jobs/view/2334319/senior-devops-engineer-in-cape-town-cbd-western-cape-at-emerge,Contract Intermediate position,R600 - R650 ph cost to company,25/09/2019
Devops Engineer,Emerge,"Cape Town CBD, Western Cape",https://www.careerjunction.co.za/jobs/view/2334312/devops-engineer-in-cape-town-cbd-western-cape-at-emerge,Contract Intermediate position,R600 - R630 ph cost to company,25/09/2019
