Job,Category,Company,Location,Compensation,Link
Market Research & Intelligence- Research ( FREELANCER),Marketing,Brainsfeed ,Remote,$1k – $2k • No equity,https://angel.co/company/brainsfeed/jobs/615333-market-research-intelligence-research-freelancer
Growth Hacker,Marketing,Brainsfeed ,Remote,₹6L – ₹7L • No equity,https://angel.co/company/brainsfeed/jobs/624355-growth-hacker
Growth Hacker,Marketing,Brainsfeed ,Remote,$15k – $24k • No equity,https://angel.co/company/brainsfeed/jobs/624361-growth-hacker
Growth Hacker,Marketing,Brainsfeed ,Remote,$15k – $24k • No equity,https://angel.co/company/brainsfeed/jobs/624376-growth-hacker
Growth Hacker [LATAM],Marketing,Brainsfeed ,Remote,$10k – $20k • 0.1% – 0.2%,https://angel.co/company/brainsfeed/jobs/641725-growth-hacker-latam
Growth Hacker,Marketing,Brainsfeed ,Remote,$10k – $20k • 0.1% – 0.2%,https://angel.co/company/brainsfeed/jobs/641726-growth-hacker
Growth Hacker,Marketing,Brainsfeed ,Remote,$15k – $25k • 0.1% – 0.2%,https://angel.co/company/brainsfeed/jobs/641730-growth-hacker
Marketing Manager,Marketing,Brainsfeed ,Remote,$20k – $30k • 0.1% – 0.1%,https://angel.co/company/brainsfeed/jobs/641731-marketing-manager
Growth Hacker,Marketing,Brainsfeed ,Remote,$10k – $25k • 0.1% – 0.2%,https://angel.co/company/brainsfeed/jobs/641756-growth-hacker
Growth Marketing,Marketing,Brainsfeed ,Remote,$10k – $24k • 0.1% – 0.2%,https://angel.co/company/brainsfeed/jobs/641758-growth-marketing
Financial Analyst ( work as a Freelancer - project based ),Operations,Brainsfeed ,India,$1k – $2k • No equity,https://angel.co/company/brainsfeed/jobs/560011-financial-analyst-work-as-a-freelancer-project-based
HR professional ( work as a Freelancer - assignment based ),Operations,Brainsfeed ,Remote,$1k – $2k • No equity,https://angel.co/company/brainsfeed/jobs/560533-hr-professional-work-as-a-freelancer-assignment-based
Talent & HR Specialist,Operations,Brainsfeed ,Remote,₹6L – ₹7L • No equity,https://angel.co/company/brainsfeed/jobs/613529-talent-hr-specialist
Talent & HR Specialist,Operations,Brainsfeed ,Remote,$8k – $12k • No equity,https://angel.co/company/brainsfeed/jobs/623383-talent-hr-specialist
Talent & HR Specialist,Operations,Brainsfeed ,Remote,₹6L – ₹7L • No equity,https://angel.co/company/brainsfeed/jobs/623404-talent-hr-specialist
Talent & HR Specialist,Operations,Brainsfeed ,Remote,$8k – $12k • No equity,https://angel.co/company/brainsfeed/jobs/624390-talent-hr-specialist
Growth Hacker,Sales,Brainsfeed ,Remote,$10k – $20k • 0.1% – 0.2%,https://angel.co/company/brainsfeed/jobs/641723-growth-hacker
Functional web developer,Software Engineering,Brainsfeed ,Remote,₹4.3L – ₹6L • No equity,https://angel.co/company/brainsfeed/jobs/623467-functional-web-developer
Functional web developer,Software Engineering,Brainsfeed ,Remote,$6k – $8k • No equity,https://angel.co/company/brainsfeed/jobs/623489-functional-web-developer
Business Analyst [FREELANCE],Other,Brainsfeed ,India,$1k – $2k • No equity,https://angel.co/company/brainsfeed/jobs/512041-business-analyst-freelance
Business Analyst ( Freelance),Other,Brainsfeed ,Remote,$1k – $2k • No equity,https://angel.co/company/brainsfeed/jobs/526710-business-analyst-freelance
Business Analyst ( FREELANCER),Other,Brainsfeed ,Remote,$1k – $3k • No equity,https://angel.co/company/brainsfeed/jobs/526713-business-analyst-freelancer
Research Analyst [ FREELANCER],Other,Brainsfeed ,Remote,$1k – $3k • No equity,https://angel.co/company/brainsfeed/jobs/533440-research-analyst-freelancer
Business Analyst ( Freelance),Other,Brainsfeed ,Remote,$1k – $2k • No equity,https://angel.co/company/brainsfeed/jobs/602749-business-analyst-freelance
Business Analyst ( Freelance),Other,Brainsfeed ,Remote,$1k – $2k • No equity,https://angel.co/company/brainsfeed/jobs/602796-business-analyst-freelance
"Business Development Manager, Nigeria",Sales,Bloom Impact,Lagos,$12k – $17k • 0.5% – 1.0%,https://angel.co/company/bloomimpact/jobs/188502-business-development-manager-nigeria
"Business Development Manager, Ghana",Sales,Bloom Impact,Boston,$10k – $14k • No equity,https://angel.co/company/bloomimpact/jobs/638107-business-development-manager-ghana
Backend Developer,Software Engineering,Bloom Impact,Accra,$5k – $10k • No equity,https://angel.co/company/bloomimpact/jobs/636321-backend-developer
UI/UX Mobile and Product Designer,Design,NALA,Remote,$6k – $60k • No equity,https://angel.co/company/nala-3/jobs/636880-ui-ux-mobile-and-product-designer
Admin / Finance Rockstar,Operations,NALA,Dar es Salaam,$10k – $20k • No equity,https://angel.co/company/nala-3/jobs/605952-admin-finance-rockstar
Lead Software Engineer - FinTech,Software Engineering,NALA,Remote,$18k – $90k • No equity,https://angel.co/company/nala-3/jobs/545856-lead-software-engineer-fintech
NALA - Uganda - Product Support Lead,Software Engineering,NALA,Uganda,$3k – $15k • No equity,https://angel.co/company/nala-3/jobs/570938-nala-uganda-product-support-lead
"Country Director, Kenya",Marketing,Safi Analytics,Nairobi,$60k – $80k • 0.5% – 2.0%,https://angel.co/company/safi-analytics/jobs/634813-country-director-kenya
Account Executive (Factories),Sales,Safi Analytics,Nairobi,$40k – $80k • 0.0% – 1.0%,https://angel.co/company/safi-analytics/jobs/566099-account-executive-factories
Account Executive (Software),Sales,Safi Analytics,Nairobi,$40k – $80k • 0.0% – 1.0%,https://angel.co/company/safi-analytics/jobs/597578-account-executive-software
Senior Full-Stack Software Developer,Software Engineering,Safi Analytics,Nairobi,$50k – $100k • 0.5% – 10.0%,https://angel.co/company/safi-analytics/jobs/391292-senior-full-stack-software-developer
Full-Stack Software Developer,Software Engineering,Safi Analytics,Nairobi,$40k – $100k • 0.0% – 3.0%,https://angel.co/company/safi-analytics/jobs/392787-full-stack-software-developer
RF Engineer,Engineering,Agape Associates,Dar-Es-Salaam,$12k – $36k • 0.0% – 1.0%,https://angel.co/company/agape-associates/jobs/625800-rf-engineer
Headend Engineer - Satellite - DTH / DTT,Engineering,Agape Associates,Dar es Salaam,$12k – $30k • No equity,https://angel.co/company/agape-associates/jobs/631411-headend-engineer-satellite-dth-dtt
Marketing Executive,Marketing,indian dental academy,Kenya,$200k – $250k • No equity,https://angel.co/company/indian-dental-academy/jobs/630686-marketing-executive
Full stack developer,Software Engineering,Imagine Insurance,Johannesburg,$20k – $80k • 0.0% – 5.0%,https://angel.co/company/imagine-insurance/jobs/630236-full-stack-developer
Proposal Writer,Sales,Hikaya,Remote,€1k – €1k • No equity,https://angel.co/company/hikaya/jobs/569579-proposal-writer
Backend Developer Intern,Software Engineering,Hikaya,Remote,No salary • No equity,https://angel.co/company/hikaya/jobs/541463-backend-developer-intern
DevOps Intern,Software Engineering,Hikaya,Remote,€1k – €1k • No equity,https://angel.co/company/hikaya/jobs/624524-devops-intern
Lead Engineer,Software Engineering,Lily Health,Remote,€20k – €60k • 0.0% – 5.0%,https://angel.co/company/lily-health/jobs/623358-lead-engineer
Call Center Support,Operations,C3 Connect,McGregor,$22k – $25k • No equity,https://angel.co/company/c3-connect-1/jobs/622140-call-center-support
Sales Community Manager,Marketing,seedstars.com,Remote,,https://angel.co/company/seedstars-com-1/jobs/578694-sales-community-manager
Growth Lead,Marketing,seedstars.com,Remote,€5k – €30k • No equity,https://angel.co/company/seedstars-com-1/jobs/614435-growth-lead
Community Analyst,Marketing,seedstars.com,Mexico City,$2k – $10k • No equity,https://angel.co/company/seedstars-com-1/jobs/622900-community-analyst
Community Manager - Cape Town,Marketing,seedstars.com,Cape Town,,https://angel.co/company/seedstars-com-1/jobs/628033-community-manager-cape-town
"Programs and Operations Manager - Nur-Sultan, Kazakhstan",Operations,seedstars.com,Astana,,https://angel.co/company/seedstars-com-1/jobs/603009-programs-and-operations-manager-nur-sultan-kazakhstan
Partnerships Manager MENA,Sales,seedstars.com,Egypt,$3k – $15k • No equity,https://angel.co/company/seedstars-com-1/jobs/559463-partnerships-manager-mena
Community and Events Manager,Sales,seedstars.com,Remote,$1k – $20k • No equity,https://angel.co/company/seedstars-com-1/jobs/581474-community-and-events-manager
Head Of Sales CEE & Cental Asia,Sales,seedstars.com,Belarus,$4k – $36k • No equity,https://angel.co/company/seedstars-com-1/jobs/592335-head-of-sales-cee-cental-asia
"Starups Programme Intern - Porto, Portugal",Sales,seedstars.com,Porto,No salary • No equity,https://angel.co/company/seedstars-com-1/jobs/598147-starups-programme-intern-porto-portugal
Partnership Manager Morocco,Sales,seedstars.com,Morocco,,https://angel.co/company/seedstars-com-1/jobs/603604-partnership-manager-morocco
Partnership Manager Ivory Coast,Sales,seedstars.com,Abidjan,,https://angel.co/company/seedstars-com-1/jobs/603628-partnership-manager-ivory-coast
