Job,Job Link,Company,Company Link,Salary Range,Contract Type
Capital Markets and Financial Inclusion Officer,https://www.fuzu.com/jobs/capital-markets-and-financial-inclusion-officer-habitat-for-humanity-kenya,Habitat for Humanity,https://www.fuzu.com/company/habitat-for-humanity-kenya,Confidential,Permanent
Security Officer,https://www.fuzu.com/jobs/security-officer-kenya-wine-agencies-ltd-0179932d,Kenya Wine Agencies Ltd.,https://www.fuzu.com/company/kenya-wine-agencies-ltd,Confidential,Permanent
Machine Operator- Winery,https://www.fuzu.com/jobs/machine-operator-winery-kenya-wine-agencies-ltd,Kenya Wine Agencies Ltd.,https://www.fuzu.com/company/kenya-wine-agencies-ltd,Confidential,Permanent
Projects Manager,https://www.fuzu.com/jobs/projects-manager-first-community-bank-99764f23-48ea-4dc5-bf25-783d851ed8c1,First Community Bank,https://www.fuzu.com/company/first-community-bank-99764f23-48ea-4dc5-bf25-783d851ed8c1,Confidential,Permanent
Loan Recovery Officer,https://www.fuzu.com/jobs/loan-recovery-officer-joinas-sacco-society-limited,Joinas Sacco Society Limited,https://www.fuzu.com/company/joinas-sacco-society-limited,Confidential,Permanent
Primary School Teachers,https://www.fuzu.com/jobs/primary-school-teachers-mt-olives-adventist-school-ngong,Mt. Olives Adventist School - Ngong,https://www.fuzu.com/company/mt-olives-adventist-school-ngong,Confidential,Permanent
Cooks,https://www.fuzu.com/jobs/cooks-mt-olives-adventist-school-ngong,Mt. Olives Adventist School - Ngong,https://www.fuzu.com/company/mt-olives-adventist-school-ngong,Confidential,Permanent
Drivers,https://www.fuzu.com/jobs/drivers-mt-olives-adventist-school-ngong,Mt. Olives Adventist School - Ngong,https://www.fuzu.com/company/mt-olives-adventist-school-ngong,Confidential,Permanent
Branch Manager - Job Ref. MN 7931,https://www.fuzu.com/jobs/branch-manager-job-ref-mn-7931-manpower-services-group,Manpower Services Group ,https://www.fuzu.com/company/manpower-services-group,Confidential,Permanent
Chief Executive Officer - Job Ref. MN 7934,https://www.fuzu.com/jobs/chief-executive-officer-job-ref-mn-7934-manpower-services-group,Manpower Services Group ,https://www.fuzu.com/company/manpower-services-group,Confidential,Permanent
CAR TRACK SALES & MARKETING MANAGER,https://www.fuzu.com/jobs/car-track-sales-marketing-manager-ngao-credit-limited,Ngao Credit Limited,https://www.fuzu.com/company/ngao-credit-limited,Confidential,Permanent
Digital Marketing and Communications Lead,https://www.fuzu.com/jobs/digital-marketing-and-communications-lead-triggerise-kenya-limited,Triggerise Kenya Limited,https://www.fuzu.com/company/triggerise-kenya-limited,Confidential,Permanent
Director ICT,https://www.fuzu.com/jobs/director-ict-county-government-of-taita-taveta,County Government of Taita Taveta,https://www.fuzu.com/company/county-government-of-taita-taveta,Confidential,Permanent
Director Budget & Economic Planning,https://www.fuzu.com/jobs/director-budget-economic-planning-county-government-of-taita-taveta,County Government of Taita Taveta,https://www.fuzu.com/company/county-government-of-taita-taveta,Confidential,Permanent
Director Internal Audit,https://www.fuzu.com/jobs/director-internal-audit-county-government-of-taita-taveta-b31058b9,County Government of Taita Taveta,https://www.fuzu.com/company/county-government-of-taita-taveta,Confidential,Permanent
