Job,Company,Location,Days posted
Concierge - Atria on Roslyn Harbor,Atria Senior Living,"Western Province, KE",5d
Enrolled Nurse (ICU),ADA Recruitment & HR Solutions,"Western Province, KE",4d
Sales Manager (E-Commerce),Summit Recruitment & Search,"Nairobi, KE",New
"Kindergarten, Primary School Teachers - China",China Work,"Eastern Province, KE",2d
Head of UX Design – Cape Town Based – Salary Negotiable,e-Merge IT Recruitment,"Western Province, KE",4d
Principal Organisational Development and Workforce Information Consultant,Department of Health (WA Health),"Western Province, KE",5d
BARTENDER,Longhorn Steakhouse,"Eastern Province, KE",5d
HR and Organisation Effectiveness ManagerPromoted,One Acre Fund,"Nairobi, KE",5d
"Technical Project Lead - $100,000/year USD - JobID #3335Promoted",Crossover for Work,"Nairobi, KE",New
Kenya Retail Operations AssociatePromoted,One Acre Fund,"Nairobi, KE",6d
ASSISTANT MANAGER (HERMANUS),Métier Recruitment SA,"Western Province, KE",1d
Supervisor.Expenditure,Kenya Airways,"Nairobi, KE",4d
Imports Receiving Clerk,Staff Solutions Limited,"Western Province, KE",6d
Financial Planner,Latitude Resource,"Western Province, KE",2d
Sales And Marketing Specialist,Alliance In Motion Global Incorporated,,
Laboratory Professionals: Medical Laboratory Technologist | JOB-2623444,CompHealth,"Eastern Province, KE",3d
Senior Software Engineer,NFT Consult,"Nairobi, KE",3d
Sales Executive,Summit Recruitment & Search,"Nairobi, KE",1d
ESL Teacher - China,China Work,"Western Province, KE",2d
"C# Integration Developer – Senior Specialist, Parklands Cape Town, R1.2mil p/a CTC",e-Merge IT Recruitment,"Western Province, KE",4d
E T Temporary,World Bank Group,"Nairobi, KE",5d
BARTENDER,Longhorn Steakhouse,"Western Province, KE",5d
Commercial Producer at Kenya Red Cross Society,Kenya Red Cross,"Nairobi, KE",6d
School Officer,Department of Health (WA Health),"Western Province, KE",2d
Bookkeeper,Métier Recruitment SA,"Western Province, KE",1d
Server/Waitstaff - Atria Cutter Mill,Atria Senior Living,"Western Province, KE",5d
Financial Adviser,Latitude Resource,"Western Province, KE",2d
Internship Opportunities at National Environment Management Authority (NEMA),National Environment Management Authority (NEMA),"Nairobi, KE",5d
Executive Distributor,Alliance In Motion Global Incorporated,,
Physical Therapist | JOB-2624107,CompHealth,"Western Province, KE",New
Check-in Controller FMU.Customer Services,Kenya Airways,"Nairobi, KE",4d
Community Corrections Officer,Department of Health (WA Health),"Western Province, KE",2d
"Principal Engineer - $400,000/year USD - JobID #3370Promoted",Crossover for Work,"Nairobi, KE",New
Digital Marketing Senior AssociatePromoted,One Acre Fund,"Nairobi, KE",5d
Marketing Communication AssistantPromoted,Tana Space Cybers Technologies Ltd,"Nairobi, Kenya",6d
Tax Compliance Officer,Métier Recruitment SA,"Western Province, KE",6d
Shift/Charge Nurse - LVN/LPN - Atria Lynbrook,Atria Senior Living,"Western Province, KE",6d
Systems Analyst,Moyo Talent Solutions,"Western Province, KE",4d
Accounts Assistant.Credit Control,Kenya Airways,"Nairobi, KE",4d
Receptionist,Staff Solutions Limited,"Western Province, KE",2d
LINE COOK,Longhorn Steakhouse,"Western Province, KE",5d
Radiology Imaging: Radiologic Technologist | JOB-2623256,CompHealth,"Western Province, KE",3d
Principal,Department of Health (WA Health),"Western Province, KE",3d
MANUFACTURING MANAGER,Métier Recruitment SA,"Western Province, KE",6d
Shift/Charge Nurse - LVN/LPN - Atria Park of Great Neck,Atria Senior Living,"Western Province, KE",6d
Equipment Operator,Kenya Airways,"Nairobi, KE",4d
LINE COOK,Longhorn Steakhouse,"Eastern Province, KE",5d
Graphic Designer,One Acre Fund,"Nairobi, KE",6d
Lecturer Disability Services,Department of Health (WA Health),"Western Province, KE",3d
"Accountant - $60,000/year USD - JobID #3961",Crossover for Work,"Nairobi, KE",New
Country Project Manager - Kenya,MEDA,"Nairobi, KE",New
"Certified Registered Nurse Anesthetist, Travel | JOB-2623907",CompHealth,"Western Province, KE",3d
DISHWASHER,Longhorn Steakhouse,"Western Province, KE",5d
Sous Chef - Clanwilliam,Métier Recruitment SA,"Western Province, KE",1d
Human Resources Officer,Department of Health (WA Health),"Western Province, KE",5d
"Accounting Assistant - $30,000/year USD - JobID #3959",Crossover for Work,"Nairobi, KE",New
Finance Accounting Intern,Kimlan Management,"Nairobi, Kenya",6d
"Senior Technical Support Engineer - $100,000/year USD - JobID #4132Promoted",Crossover for Work,"Nairobi, KE",New
"General Accountant - $60,000/year USD - JobID #3961Promoted",Crossover for Work,"Nairobi, KE",New
"Customer Service Representative - $30,000/year USD - JobID #3073Promoted",Crossover for Work,"Western Province, KE",New
DISHWASHER,Longhorn Steakhouse,"Eastern Province, KE",5d
Lecturer Aged Care,Department of Health (WA Health),"Western Province, KE",3d
Snr Evaluation Off- Operations,UNHCR,"Nairobi, KE",5d
Principal,Department of Health (WA Health),"Western Province, KE",5d
Senior Student Services Administrator,Pearson,"Nairobi, KE",New
Principal,Department of Health (WA Health),"Western Province, KE",5d
Senior Back-End Developer,Frictionless Enterprises Ltd,"Nairobi, KE",5d
Vocational Education and Workplace Learning Support Officer,Department of Health (WA Health),"Western Province, KE",2d
Database Administrator & Report Writer,BrighterMonday Consulting,"Nairobi, KE",6d
"Software QA Engineer - $30,000/year USD - JobID #3368",Crossover for Work,"Nairobi, KE",New
Senior Social Worker,Department of Health (WA Health),"Western Province, KE",5d
INTERNSHIP OPPORTUNITIES IN RESEARCH,APHRC - African Population and Health Research Center,"Nairobi, KE",6d
Lecturers in Community Services,Department of Health (WA Health),"Western Province, KE",3d
Extractive Industries Regional Advisor,Oxfam-Québec,"Nairobi, KE",New
Deputy Principal,Department of Health (WA Health),"Western Province, KE",5d
"Career Opportunities at Citi Bank (February, 2020 Recommended Jobs)",Citi Bank,"Nairobi, KE",6d
Teacher - Mathematics,Department of Health (WA Health),"Western Province, KE",2d
Junior Administrator,Anonymous Employer,"Nairobi, KE",1d
Associate Energy Officer,UNHCR,"Nairobi, KE",4d
Cleaner,Department of Health (WA Health),"Western Province, KE",5d
Snr Liaison Officer,UNHCR,"Nairobi, KE",5d
Gardener - Handyperson,Department of Health (WA Health),"Western Province, KE",5d
Sales AssistantPromoted,Tujiajiri kenya,"Nairobi, Kenya",New
Sales And Marketing RepresentativePromoted,Kamsa Africa Ltd.,"Nairobi, Kenya",New
Operations ManagerPromoted,Acacia EPZ Limited,Kenya,New
Regional Humanitarian Coordinator - WAF,Oxfam-Québec,"Nairobi, KE",6d
Clinical Nurse Manager,Department of Health (WA Health),"Western Province, KE",2d
Admissions Associate,ALX,"Nairobi, KE",New
Full Stack Application Developer,Anonymous Employer,"Nairobi, KE",6d
Clinical Nurse,Department of Health (WA Health),"Western Province, KE",New
Clinical Nurse,Department of Health (WA Health),"Western Province, KE",5d
Head of Product Strategy at DT One,DT One,"Nairobi, KE",1d
Marketer,Louis Dreyfus Company,"Mombasa, KE",5d
Snr Protection Officer,UNHCR,"Nairobi, KE",5d
Full Stack Software Engineer,Cytonn Technologies,"Nairobi, KE",New
Engineer â Take your career to a whole new level,Hi Tech Recruitment Johannesburg,"Eastern Province, KE",4d
Internship - ACT Alliance Kenya Forum Coordinator,Christian Aid,"Nairobi, KE",New
Engineer â Take your career to a whole new level!,Hi-Tech Recruitment - Johannesburg,"Eastern Province, KE",4d
Engineer â Take your career to a whole new level!,Hi-Tech Recruitment - Johannesburg,"Eastern Province, KE",4d
Head of Business Development & Client Service,TripleOK Law Advocates,"Nairobi, KE",4d
Assc Protection Officer,UNHCR,"Nairobi, KE",4d
Learning and Communications Director,DT Global,"Nairobi, KE",6d
Scientist / Associate Scientist,Cancer Research UK,"Nakuru, KE",4d
Learning Designer,Fourth Generation(4G) Capital,"Nairobi, KE",New
Digital Forensic and IT Security Analyst,Anonymous Employer,"Nairobi, KE",6d
Software Engineer,Opibus,"Nairobi, KE",5d
Logistics Assistant,Murban Movers Ltd,"Dagoretti, Nairobi, Kenya",1d
Sales Marketing AssistantPromoted,Elavate Group,"Nairobi, Kenya",6d
Developer,Network Finance,"Western Province, KE",1d
"Career Opportunities at Vivo Energy (February, 2020 Recommended Jobs)",Vivo Energy,"Nairobi, KE",6d
Sub-Saharan Africa - Technology Project Lead,Citi,"Nairobi, KE",5d
Librarian,"The Aga Khan Academy, Mombasa","Mombasa, KE",4d
Front End Expert,Soko,"Nairobi, KE",4d
Founding Partner at Privilege Fund,Privilege Fund,"Nairobi, KE",6d
Communications Executive,BrighterMonday Consulting,"Nairobi, KE",4d
Direct Sales Representatives,Milestone Commodities Limited,"Nairobi, KE",5d
Internship - Business Development - Kenya,Afringa,"Nairobi, KE",New
Marketing Officer,studio-partner,"Umoja 2, Nairobi, Nairobi, Kenya",4d
Bioinformatician,Cancer Research UK,"Nakuru, KE",New
Technical Advisor at Centre for Health Solutions – Kenya,Centre for Health Solutions – Kenya,"Nairobi, KE",6d
Associate Subaward Manager at Population Services International,Population Services International,"Nairobi, KE",6d
Sub Saharan Africa - Senior Solutions Architect,Citi,"Nairobi, KE",5d
Office Administrator,Travelport,"Nairobi, KE",New
Assistant / Assistante dentaire (H/F),CERRILLO ANGUIANO INIGO,"Meru, KE",1d
Country Project Officer – Biodiversity Engagement Facilitation,IUCN,"Nairobi, KE",New
Country Director,DRC - Danish Refugee Council,"Nairobi, KE",New
Account Manager,Diversey,"Nairobi, KE",New
Project Coordinator,DRC - Danish Refugee Council,"Lodwar, KE",6d
Business Development Officer,Rivercross Tracking Limited,"Nairobi, KE",New
Project Officer - Faith and Community Initiative (FCI) - Temporary Role,Christian Aid,"Nakuru, KE",New
Communications and Fundraising Lead,Xavier Project,"Nairobi, KE",New
Senior Maths Specialist,Allan Gray Orbis Foundation,"Eastern Province, KE",4d
Commercial Planner,BrighterMonday Consulting,"Nairobi, KE",New
Specialist Consultant - Psychiatry,Kalgoorlie Regional Hospital,"Western Province, KE",5d
Specialist Consultant - Psychiatry,Kalgoorlie Regional Hospital,"Western Province, KE",5d
Project Manager [Contractor] Purpose Climate Lab,Purpose Campaigns,"Nairobi, KE",New
Snr Progr Assessm & Analys Off,UNHCR,"Nairobi, KE",5d
Snr Staff Counsellor,UNHCR,"Nairobi, KE",5d
Account Manager PPE,Honeywell,"Nairobi, KE",6d
"Chief Officer – Gender, Social Services and Culture, Chief Officer – Medical Services at County Government of Bungoma",County Government of Bungoma,"Nairobi, KE",6d
Director of Customer Experience,Angaza,"Nairobi, KE",5d
MARKETING EXECUTIVE,Verde Edge Consulting Ltd,"Nairobi, KE",6d
Global Head of Supply Chain at Sokowatch,Sokowatch,"Nairobi, KE",5d
"Chief Information Officer at Kenyatta University Teaching, Referral & Research Hospital","Kenyatta University Teaching, Referral & Research Hospital","Nairobi, KE",1d
Accounting Analyst at International Potato Center,International Potato Center,"Nairobi, KE",5d
Ingénieur qualité H/F,AKKA Technologies,"Meru County, KE",5d
Plantation Manager - You next career move is on the cards!,Hi-Tech Recruitment - Johannesburg,"Eastern Province, KE",4d
General Manager,Coveted Human Resource Services,,
Plantation Manager - You next career move is on the cards,Hi Tech Recruitment Johannesburg,"Eastern Province, KE",4d
Opportunities at Jijali Learning,Yusudi Limited,"Nairobi, KE",5d
Snr Field Security Officer,UNHCR,"Nairobi, KE",5d
Intermediate Java Developer,Communicate Cape Town IT,"Western Province, KE",1d
Hospitality Supervisor,studio-partner,"Umoja 2, Nairobi, Nairobi, Kenya",4d
Tennis Instructor,Accor,"Awasi, KE",4d
Ingénieur méthodes composites H/F,AKKA Technologies,"Meru County, KE",New
Plantation Manager - You next career move is on the cards!,Hi-Tech Recruitment - Johannesburg,"Eastern Province, KE",4d
Proposition Sales Specialist,Refinitiv,"Nairobi, KE",New
Customer Experience Executive,BrighterMonday Consulting,"Nairobi, KE",4d
Human Resource Assistant,Ace Hardware Corporation,"Western Province, KE",3d
Regional Peace Building Coordinator,DRC - Danish Refugee Council,"Nairobi, KE",5d
Ingénieur méthodes indus H/F,AKKA Technologies,"Meru County, KE",New
Armada General Application,Armada Careers,"Nairobi, KE",5d
Hotel Services- Bundaberg,Bolton Clarke,"Nakuru, KE",New
Assistant Gym Instructor,Kasarani Sportsview Hotel,"Nairobi, KE",5d
Business Development Manager,Robert Walters,"Mombasa, KE",4d
Account Executive,Careertrotter,"Eastern Province, KE",4d
FTC System Analyst SAP Basis,Sabenza It,"Eastern Province, KE",4d
Sales And Marketing Specialist,Alpha,,
Senior Marketing Technical Advisor at Population Services International,Population Services International,"Nairobi, KE",1d
Country Finance Manager,NFT Consult,"Nairobi, KE",New
Royal Service Agent,Accor,"Awasi, KE",3d
"Chief of Party, East Africa Regional Project",Banyan Global,"Nairobi, KE",5d
Insurance Sales and Marketing Executives - General and Medical,APA Insurance - City Centre Branch,"Nairobi, KE",5d
Ingénieur Méthode Industrialisation H/F,AKKA Technologies,"Meru County, KE",New
HR Executive,AFRICAWORK,"Eastern Province, KE",1d
Engage Life Program Instructor - Atria Park of Great Neck,"Atria Management Company, LLC","Western Province, KE",6d
Front Desk Agent,Accor,"Aitong, KE",6d
Finance and Administration Assistant,DRC - Danish Refugee Council,"Lodwar, KE",New
Retail Operations Officer at Moko Home + Living,Moko Home + Living,"Nairobi, KE",2d
"Reservations Agent,Group",Accor,"Awasi, KE",3d
Assistant Operations Manager,BrighterMonday Consulting,"Nairobi, KE",5d
CREDIT CONTROLLER,Manpower Services,"Nairobi, KE",4d
Financial Accountant,Network Finance,"Eastern Province, KE",4d
Business Development Manager Rwanda & Burundi,Diversey,"Nairobi, KE",New
Sales & Marketing Executive,Anonymous Employer,"Nairobi, KE",2d
Consultant chef de projet études H/F,AKKA Technologies,"Meru County, KE",New
Health and Safety Manager,responsAbility,"Nairobi, KE",5d
Bobinier H/F,Derichebourg,"Meru County, KE",New
Area Manager,DRC - Danish Refugee Council,"Kakuma, KE",5d
Commis 2,Accor,"Awasi, KE",New
Specialist Consultant - General practice - emergency medicine,Halls Creek Community Health Service,"Western Province, KE",New
Specialist Consultant - General practice - emergency medicine,Halls Creek Community Health Service,"Western Province, KE",New
Med Tech - Atria Forest Hills,"Atria Management Company, LLC","Western Province, KE",3d
Sales & Service Banking Consultant,Vero Insurance,"Western Province, KE",4d
Duty Manager - 5* Game Lodge - Eastern Cape (ZJ -1110),Zeebra Junction,"Eastern Province, KE",4d
Leiter (m/w/d) zweier Komponenten,GIZ,"Kisumu, KE",4d
PROCUREMENT AND ADMINISTRATION MANAGER - REF: PAM/01-02/2020,CARE International in Kenya,"Nairobi, KE",5d
FINANCE OFFICER,Verde Edge Consulting Ltd,"Westlands, KE",6d
ANALISTA DE LABORATÓRIO,Seleta Vagas,"Embu, KE",6d
Ingénieur Méthode Industrialisation MasterCam H/F,AKKA Technologies,"Meru County, KE",New
Bursar,"The Aga Khan Academy, Mombasa","Mombasa, KE",4d
Chief Financial Officer,Eastern Progress Staffing,"Eastern Province, KE",4d
Kitchenhand - Acacia Ridge,Bolton Clarke,"Nakuru, KE",New
SALES EXECUTIVE,Verde Edge Consulting Ltd,"Lenana, KE",6d
Care Assistant,AdView Job Search,"Western Province, KE",6d
Finance and Operations Manager,BrighterMonday Consulting,"Nairobi, KE",New
Accountant,Tupelo African Dishes Restaurant,"Nairobi, KE",1d
Responsable Programme Coque Composite H/F,AKKA Technologies,"Meru County, KE",6d
Credit Officer at Moko Home + Living,Moko Home + Living,"Nairobi, KE",2d
Property Manager at Eden Heights Realty,Eden Heights Realty,"Nairobi, KE",2d
Guest services Agent,Accor,"Awasi, KE",New
Office Administrator,AFRICAWORK,"Eastern Province, KE",1d
Sales Manager for a Top trading co Dammam,Goldstar Enterprise,"Eastern Province, KE",New
IT Sales Representatives,Cognitive School Systems,"Nairobi, KE",4d
Specialist Consultant - General practice - anaesthetics,Derby Hospital WA,"Western Province, KE",1d
Talent Acquisition Manager,BrighterMonday Consulting,"Nairobi, KE",4d
Commis 3,Accor,"Awasi, KE",3d
Specialist Consultant - General practice - emergency medicine,Kununurra Hospital - WA,"Western Province, KE",1d
OPÉRATEUR DE PRODUCTION(H/F),Derichebourg,"Meru County, KE",New
Steel Fixer,synaco,"Western Province, KE",1d
Management Couple - Boutique Hotel / Lodge - Eastern Cape (ZJ - 1065),Zeebra Junction,"Eastern Province, KE",4d
TECHNICIEN TECHNOLOGIES DE FABRICATION (H/F),Derichebourg,"Meru County, KE",New
Facilities Management Services Supervisor,Ace Hardware Corporation,"Western Province, KE",2d
General Manager - Sales,Sisu Global Health,"Nairobi, KE",5d
Construction Supervisor - Resources,Ventia,"Western Province, KE",4d
"Business Accountant - Cape Town, Kuilsrevier",Network Finance,"Western Province, KE",4d
Technicien métrologie H/F,Derichebourg,"Meru County, KE",New
Technicien intégration et test H/F,Derichebourg,"Meru County, KE",New
Sales director for a Top trading co Dammam,Goldstar Enterprise,"Eastern Province, KE",New
Radiation Therapist - Cape Gate Oncology Centre,ICON Oncology,"Western Province, KE",4d
Design Specialist,Ace Hardware Corporation,"Western Province, KE",3d
HR Business Partner,Network Finance,"Western Province, KE",1d
Sales & Marketing Co-ordinator-Agricultural Inputs,NFT Consult,"Nairobi, KE",New
Fitter & Turner â Be part of a winning team!,Hi-Tech Recruitment - Johannesburg,"Eastern Province, KE",4d
Fitter & Turner â Be part of a winning team!,Hi-Tech Recruitment - Johannesburg,"Eastern Province, KE",4d
Office Administrator,Tupelo African Dishes Restaurant,"Nairobi, KE",1d
ESL Teaching positions available in China,Pro-edge Recruitment,"Eastern Province, KE",4d
Électrotechnicien (H/F),Derichebourg,"Meru County, KE",New
Garde d'enfants à domicile (H/F),Yoopala Oise,"Meru, KE",2d
Fitter & Turner â Be part of a winning team,Hi Tech Recruitment Johannesburg,"Eastern Province, KE",4d
Technicien Méthodes d'Industrialisation (H/F),Derichebourg,"Meru County, KE",New
Approvisionneur H/F,AKKA Technologies,"Meru County, KE",5d
Technicien Méthodes d'Industrialisation H/F,Derichebourg,"Meru County, KE",New
"Declaration Clerk (experienced in Kentrade, ICMS and tradex KRA systems)",BrighterMonday Consulting,"Nairobi, KE",1d
Senior Cost Accountant,Communicate Central Finance,"Western Province, KE",1d
Sales Admin Supervisor,NDC Personnel & Contractors CC,"Eastern Province, KE",4d
General Practitioner,Prospect Health,"Western Province, KE",5d
ESL Teaching positions available in China,Pro edge Recruitment,"Western Province, KE",1d
Quality Manager,Executech Search and Selection,"Western Province, KE",4d
Project Manager (Civil Engineering),AdView Job Search,"Western Province, KE",6d
Associate Vice President for Finance,Mills College,"Njoro, KE",3d
Mechanic,Coveted Human Resource Services,"Nairobi Hill, Nairobi, Nairobi, Kenya",6d
Commission-based Sales Executives,Platinum Credit Ltd - Westlands LBF,"Nairobi, KE",6d
Tourneur conventionnel H/F,Derichebourg,"Meru County, KE",New
Service petit déjeuner H/F,COOKORICO,"Meru County, KE",New
Construction Manager - RIO,Ventia,"Western Province, KE",4d
Serveur/se H/F,COOKORICO,"Meru County, KE",New
HOTEL CORQUE FRONT OFFICE SUPERVISOR,Chumash,"Awasi, KE",3d
Production Supervisor,BrighterMonday Consulting,"Nairobi, KE",4d
"Operations Manager - South Coast, Msambweni",BrighterMonday Consulting,"Mombasa, KE",4d
HSEQ Advisor,AdView Job Search,"Western Province, KE",6d
AIDE REGLEUR (H/F),PROCH'EMPLOI,"Meru, KE",5d
HVAC & R Technician,Executech Search and Selection,"Western Province, KE",4d
Field Service Technician,Human Accent,"Western Province, KE",1d
Clinical Lead,AdView Job Search,"Western Province, KE",6d
Vendeur / Vendeuse en quincaillerie (H/F),LA QUINCAILLERIE PRINCIPALE,"Meru, KE",6d
Minibus Driver/Maintenance Worker,AdView Job Search,"Western Province, KE",2d
ESTravel Agent Kenya (Spanish-speaking),EVANEOS SA,"Nairobi, KE",5d
Technicien de Maintenance Aéronautique (H/F),Derichebourg,"Meru County, KE",New
Food Safety Auditor,NDC Personnel & Contractors CC,"Eastern Province, KE",1d
Catering Manager,AdView Job Search,"Western Province, KE",6d
KH-8485,Hansen Agri-PLACEMENT,"Western Province, KE",4d
