Job,Company,Location,Days posted
"Coordination Officer, Administration at United Nations Human Settlements Programme",UN-Habitat (United Nations Human Settlements Programme),"Nairobi, KE",6d
Training Team Leader at Centum,CENTUM Financial Group Inc.,"Nairobi, KE",2d
Programme Officer Kenya Office,CharityJob,"Nairobi, KE",New
"Credit Analyst, East Africa",Root Capital,"Nairobi, KE",1d
Sales And Marketing Specialist,Self Employed,,
Marketing Executive,Alliance In Motion Global Incorporated,,
Sub-Saharan Africa - Technology Project Lead,Citi,"Nairobi, KE",5d
"Transport Procurement Associate, Nairobi",Lori,"Nairobi, KE",5d
"Ongoing Interns Recruitment at Central Bank of Kenya (February, 2020 Recommended Jobs)",Central Bank of Kenya,"Nakuru, KE",2d
"Software Engineer - $30,000/year USD - JobID #3890",Crossover for Work,"Nairobi, KE",New
Director of Operations and Finance,None on Record,"Nairobi, Kenya",New
"Investment Associate, Agri-Business Capital (ABC) Fund",Bamboo Capital Partners,"Nairobi, Kenya",New
Senior IT Assistant,World Bank Group,"Nairobi, KE",1d
Technical Support Partner at Christian Aid,Christian Aid,"Nairobi, KE",6d
Brand Manager,Novartis,"Nairobi, KE",6d
Senior Student Services Administrator,Pearson,"Nairobi, KE",2d
Research Associate II – Livestock Genetics,International Livestock Research Institute (ILRI),"Nairobi, KE",4d
Project Coordinator,Aecon Group Inc.,"Western Province, KE",3d
Kenya Country Director,Precision Agriculture for Development (PAD),"Nairobi, Kenya",New
Compliance ManagerPromoted,Pepperstone,"Nairobi, Kenya",New
Managing Executive: Smallholder FarmingPromoted,Mezzanine,"Nairobi, Kenya",2d
"Associate, Digital & Affinity Marketing - GEGMPromoted",GREAT EASTERN,"Eastern Province, KE",1d
Logistics Manager,Soko,"Nairobi, KE",4d
"Software Engineer C++, based in Mechelen, Belgium, relocation support provided, multiple positions available!",Ormco,"Eastern Province, KE",5d
Strategic Assistant to CEO,BURN Manufacturing,"Nairobi, KE",4d
Tour Consultant,Halifax Group ,"Nairobi, Kenya",1d
HORSE TRAINER AND MANAGER,Cv People Africa,"Eastern Province, KE",4d
Integration Engineer - UDM,Ericsson,"Nairobi, KE",3d
Communications Manager,The AECF,"Nairobi, Kenya",2d
Retail Operations Officer,Moko Home + Living,"Nairobi, Kenya",2d
New Install Technician,NuPay.,"Eastern Province, KE",4d
Compliance Specialist covering Sub Saharan Africa based in Kenya,Medtronic,"Nairobi, KE",5d
Technical Advisor at Centre for Health Solutions,"Health Solutions (now Interactive Health, Inc.)","Nairobi, KE",5d
Biomedical Engineer-Retainer,UNOPS,"Nairobi, KE",1d
Climate Research Intern,Kenya Red Cross,"Nairobi, KE",New
Junior Associate position at Employment Law Firm - Port Elizabeth,Boyens Group,"Eastern Province, KE",6d
Communications Coordinator,World Agroforestry,"Nairobi, KE",6d
Account Manager,Diversey,"Nairobi, KE",New
Business Development Manager,Robert Walters,"Mombasa, KE",5d
Electrical Systems: Data Centre Internship (JHB/CPT),Liquid Telecom,"Western Province, KE",6d
Human Resource GIT,Coca-Cola Beverages Africa,Kenya,4d
Project Manager [Contractor] Purpose Climate Lab,Purpose PBC,"Nairobi, KE",New
Project Director,International Rescue Committee,"Nairobi, KE",1d
"Regional IT Manager, VisionFund",World Vision,"Nairobi, Kenya",5d
Business Development Manager - MerchantPromoted,Air Products,"Eastern Province, KE",6d
Head of Cross Border PaymentsPromoted,Equity Bank Limited,"Nairobi, Kenya",4d
CEO Fellowship of an Early Stage Social EnterprisePromoted,Jijenge Academy,"Nairobi, Kenya",New
Programme Manager - Marsabit,Concern Worldwide,"Marsabit, KE",4d
"Plant Operator (Kenya - Mombasa, KE)",Wärtsilä,"Mombasa, KE",6d
"Latest Jobs at CloudFactory (February, 2020 Recommended Jobs)",CloudFactory.,"Nairobi, KE",5d
"Kenya Monitoring, Evaluation and Learning Specialist",One Acre Fund,"Kakamega, KE",2d
Site Scheduler Assistant,GSK,"Nairobi, KE",6d
"Medical Representative ""Saudi Arabia Eastern Region based""",Merck Group,"Eastern Province, KE",1d
Real Estate Manager,Workforce Africa,"Nairobi, Kenya",6d
"Programme Management Officer, UN Human Settlements Programme, Temporary job opening, six (6) months from the Entry on Duty;",United Nations,"Nairobi, KE",2d
Senior Analyst Digital Channels & CX Value Delivery,Britam,"Nairobi, KE",New
"Business Manager, East & West Africa",Epson Europe B.V.,Kenya,1d
Quality Assurance Engineer (Tester),NFT Consult,"Nairobi, KE",3d
Program Support Worker,"Department of Health & Human Services, Victoria","Western Province, KE",2d
Fire Information Management Officer,Department of Health (WA Health),"Western Province, KE",2d
PROFESSIONAL OFFICER: REGULATORY ANALYST,City of Cape Town,"Western Province, KE",6d
Creditors clerk,myNEXT,"Eastern Province, KE",4d
Old Mutual is hiring - Financial advisor position,Natalie Inc,"Eastern Province, KE",6d
Sales-IT Background,Career Directions Ltd,"Nairobi, KE",New
ASSISTANT BUSINESS DEVELOPMENT MANAGER (LIFE),Madison Insurance Company Kenya Ltd,"Nairobi, Kenya",New
Operations Specialist,JobsInLogistics.com,"Western Province, KE",New
Africa Compliance Manager,bioMérieux,"Nairobi, Kenya",6d
Activation Operations Manager,Captivate Africa,"Nairobi, Kenya",5d
Sales Engineer,Geberit,"Nairobi, Kenya",New
Social Media Lead.Corporate CommunicationsPromoted,Kenya Airways,"Nairobi, KE",New
Development ManagerPromoted,Voltalia,"Nairobi, Kenya",1d
"Information Technology Support Specialist - $30,000/year USD - JobID #3073Promoted",Crossover for Work,"Nairobi, KE",New
Access to alternative fuels project Consultant,Practical Action,"Kisumu, KE",New
Shop Assistant,Alliance In Motion Global Incorporated,,
Sub Saharan Africa - Senior Solutions Architect,Citi,"Nairobi, KE",5d
Director of Customer Experience at Angaza,Angaza,"Nairobi, KE",5d
Sales & Service Banking Consultant,Suncorp Group,"Western Province, KE",6d
OFFICE SUPPORT II - ATTENDANCE,Guilford County Schools,"Eastern Province, KE",4d
React.Js Developer,Datafin Recruitment,"Eastern Province, KE",New
Senior Journalist - Multimedia (Nairobi),BBC,"Nairobi, KE",5d
Retail Sales Specialist,Digital Marketing Group,,
Service Team Lead (ICT),Bridge Personnel Concepts,"Eastern Province, KE",6d
Operations & Finance Associate,Instiglio,"Nairobi, Kenya",4d
Geotechnical Engineer,BASF,"Western Province, KE",5d
Senior Data Engineer – Cape Town – R750k to R900k per annum,e-Merge IT Recruitment,"Western Province, KE",4d
Compliance and Legal Assistant,European Australian Business Council (EABC),"Nairobi, KE",5d
System Security Administrator at Text Book Centre Ltd,Text Book Centre Ltd,"Nairobi, KE",6d
"Manager, Raw Material",PVH Corp.,"Nairobi, KE",1d
Project Administrator ICS-Migori,VSO,"Nakuru, KE",2d
Investment Analyst – Private Equity Funds (PE),World Bank Group,"Nairobi, KE",5d
Technologist: Process Control and Instrumentation,multiSEARCH,"Eastern Province, KE",1d
Associate Subaward Manager,Population Services International,"Nairobi, KE",6d
Subsidiary PMM Manager (Azure),Microsoft,"Nairobi, KE",New
Senior Investigator (Africa),International Federation of Red Cross and Red Crescent Societies - IFRC,"Nairobi, KE",5d
Medical Sales Representatives - KenyaPromoted,Vezeeta.com,"Nairobi, KE",1d
Plant Mechanical EngineerPromoted,Diageo,"Nairobi, KE",2d
Temporary Translator (Somali-Swahili-English)Promoted,FHI 360,"Nairobi, KE",2d
Admin Assistant,Hutech International Group,"Eastern Province, KE",New
Freelance Project Manager (Humanitarian),Mainspring Resourcing Solutions,"Nairobi, KE",6d
Sales Executive,Africa Plantation Capital,"Nairobi, KE",New
Office / Staff Driver,Sense of Africa (East Africa),"Nairobi, KE",4d
Market Research - Product Manager,BURN Manufacturing,"Ruiru, KE",4d
Office Administrator,Travelport,"Nairobi, KE",1d
Executive Assistant to the C.E.O,Summit Recruitment & Search,"Nairobi, KE",4d
Service Manager,Motor Staff,"Eastern Province, KE",1d
HR Business Partner - Marketing,British American Tobacco,"Nairobi, KE",New
Accounting Analyst,International Potato Center (CIP),"Nairobi, KE",5d
New Business Development,West Coast Personnel,"Western Province, KE",4d
"Director- Health, Nutrition and WASH",IPE Global Limited,"Nairobi, Kenya",5d
Field Service Engineer,People for Projects (P4P),"Western Province, KE",4d
NSW - Field Service Technician (Workshop),Valmec,"Eastern Province, KE",4d
Field Sales Representative,Alpha Data,,
Property Manager,Eden Heights Realty,"Nairobi, Kenya",2d
Maintenance Officer at Kilimall,Kilimall,"Nairobi, KE",5d
"Logistics Assistant, Cash Based Transfer (CBT), SC5, Kakuma",UN World Food Programme WFP,"Kakuma, KE",4d
Seeking Graduates To Teach In China With Legal Working VISA (18 000-35 000),China Work,"Western Province, KE",2d
Support Engineer,SOLID SYSTEMS LIMITED,"Western Province, KE",6d
Waste Runners / Offsiders - Eastern Creek,IPA,"Eastern Province, KE",New
Vastaavia ja vanhempia työnjohtajia (Pirkanmaa),Skanska,"Western Province, KE",6d
"Director, Adolescence – Demographic Transition (French speaking)Promoted",Children's Investment Fund Foundation (CIFF),"Nairobi, Kenya",1d
Invitation for Expression of Interest for Chief of Parties:Water and Development IDIQPromoted,RTI International,"Nairobi, KE",New
WW Coach - SouthlandPromoted,WW (formerly Weight Watchers),"Eastern Province, KE",4d
Accountant,ACCA Careers,"Western Province, KE",2d
School Nurse - Nova Pioneer Boys,Nova Pioneer,"Kiambu, KE",New
"UNPAID Sales and Marketing Volunteer to Boost Innovative Non-Profit Project in Turkana, Kenia",Startup Lions,"Nairobi, KE",1d
"Consultant, Advocacy Brief development",International Rescue Committee,"Nairobi, KE",6d
"Tekkie Town - Store Manager, Langeberg Mall",Pepkor IT,"Western Province, KE",New
Junior Takinspekteur / Junior Branch Inspector,OVK - Group/Groep,"Eastern Province, KE",2d
Assistant Scientist-Water & Sanitation at World Agroforestry,World Agroforestry,"Nairobi, KE",6d
Cost Accountant | Automotive | Port Elizabeth | Complement Recruitment,Métier Recruitment SA,"Eastern Province, KE",New
Store Person,UGL,"Eastern Province, KE",2d
Plantation Manager,Independent Recruiter,"Eastern Province, KE",4d
Property Manager,Pam Golding Properties,"Nairobi, Kenya",5d
Credit Administration Manager,G4S,"Nairobi, KE",5d
IT Intern,DRC - Danish Refugee Council,"Nairobi, KE",4d
Supply Chain and Logistics Coordinator with Japanese (m/f/d),beratung für IS,"Eastern Province, KE",3d
Logistics GIT,Coca-Cola Beverages Africa,Kenya,4d
First Line Processing Technician,South African National Blood Service,"Eastern Province, KE",4d
Sales Executive - Enterprise - Africa (Contractor),Entrust Datacard,"Nairobi, KE",1d
Technologist: Process Control & Instrumentatio,Alpha Labour Solutions,"Western Province, KE",4d
Community Health Aide - Atria Park of Great Neck,Atria Senior Living,"Western Province, KE",1d
Ingénieur Méthode Industrialisation MasterCam H/F,AKKA Tech,"Meru, KE",New
"Senior Investment Manager, Tech4Impact Fund ",Bamboo Capital Partners,"Nairobi, Kenya",New
"Associate / Assistant Manager, Agency Training-GEGMPromoted",GREAT EASTERN,"Eastern Province, KE",2d
DirectorPromoted,Edgile,"Eastern Province, KE",5d
Occupational Therapist | DisabilityPromoted,MARS Recruitment,"Eastern Province, KE",5d
Program Coordinator,Department of Health (WA Health),"Western Province, KE",5d
Project Manager - Transportation Design,Fleis & VandenBrink,"Eastern Province, KE",4d
Urgent Requirement for King Faisal University MOH KSA,Radico,"Eastern Province, KE",5d
Field Engineer,Aecon Group Inc.,"Western Province, KE",New
SERVER,Longhorn Steakhouse,"Western Province, KE",5d
General Assistant Position,Lulaway,"Eastern Province, KE",5d
Product Executive – Financial Services,Career Directions Ltd,"Nairobi, KE",6d
National Sales And Marketing Director,Paper Chasers,"Nairobi, Kenya",1d
"Software Engineer, Data Visualization",Gro Intelligence,"Nairobi, KE",New
Pupil / Legal Assistant,Alibhai Law Group,"Nairobi, KE",New
Accountant - East London,Synergy Human Resources,"Eastern Province, KE",6d
Site Scheduler Assistant,GSK,"Nairobi, KE",6d
Credit Officer,Moko Home + Living,"Nairobi, Kenya",2d
"Relief Social Care Worker, Ardseileach Core and Cluster Exceptional Care Package - CNS01890",Comhairle Nan Eilean Siar,"Western Province, KE",4d
Farm Manager,Helderberg Personnel,"Western Province, KE",6d
Comprehensive Ophthalmologist,ETS Vision,"Eastern Province, KE",1d
Flight Dispatcher.Operations Control,Kenya Airways,"Nairobi, KE",New
Production Manager,"FROGG Recruitment SA ""Providers of Professional Recruitment Services""​","Western Province, KE",4d
"Crew Member, Foschini V&A Waterfront",The Estée Lauder Companies Inc.,"Western Province, KE",6d
Justine est à la recherche de son/sa babysitter,Yoopala Services,"Meru, KE",3d
Laboratory Professionals: Microbiologist | JOB-2623222,CompHealth,"Eastern Province, KE",3d
Credit Administration Officer,Adept Management Consultants Ltd,"Nairobi, KE",New
"Field Marketing Manager, Public SectorPromoted",GitLab Inc.,"Eastern Province, KE",5d
"IT Support Specialist - $30,000/year USD - JobID #3073Promoted",Crossover for Work,"Nairobi, KE",New
Regional Sales Manager - FoodservicePromoted,Lassonde,"Western Province, KE",6d
Trainee Programme: HR Management,Staff Solutions Limited,"Western Province, KE",New
Plantation Manager,Affinity Staffing Group,"Eastern Province, KE",4d
Geotechnical Engineer,BASF,"Western Province, KE",5d
Hygienist,Aspen Dental,"Western Province, KE",6d
Junior Accountant,GAP Consulting,"Western Province, KE",2d
Assistant General Manager,UFC GYM,"Eastern Province, KE",5d
Beauty Advisor - Uitenhage,Clicks Group,"Western Province, KE",4d
Field Technician (Equipment),Audio Visual Innovations,"Western Province, KE",1d
Med/Surg,American Traveler,"Western Province, KE",New
Senior Java Developer,Parvana,"Western Province, KE",1d
Key Account Manager Food,Sales Talents,"Western Province, KE",New
Head Of Finance,Pezesha,"Nairobi, Kenya",2d
Cabinetry & Furniture,Kevin & Co,"Eastern Province, KE",6d
Corporate Sales Executive - Broking,Britam,"Nairobi, KE",6d
JUNIOR FARM MECHANIC,Farm Manager,"Eastern Province, KE",1d
Kenya Enrollment Project Specialist,One Acre Fund,"Kakamega, KE",1d
Package Handler,Alliance In Motion Global Incorporated,,
Business Development Manager Rwanda & Burundi,Diversey,"Nairobi, KE",1d
Internal Audit - Assistant Manager,Latitude Resource,"Western Province, KE",2d
"Group Head of Human Resource - Nairobi, Kenya",Summit Recruitment & Search,"Nairobi, KE",1d
Brilliant Pharm Techs,Penda Health,"Nairobi, KE",5d
Head of Sales & VIP,Bettingjobs.com,"Eastern Province, KE",4d
Services Sales ManagerPromoted,Microsoft,"Nairobi, KE",New
Head Of SalesPromoted,Mezzanine,"Nairobi, Kenya",2d
Project Compliance and Administration OfficerPromoted,BURN Manufacturing,"Nairobi, Kenya",New
HORSE MANAGER,Cv People Africa,"Eastern Province, KE",4d
Motorbike Driver : Greenacres,AMPATH,"Eastern Province, KE",1d
CUSTOMER SERVICE AGENT: PREPAID,Altron Bytes People Solutions,"Eastern Province, KE",1d
Waste Runners / Offsiders - Eastern Creek,IPA,"Eastern Province, KE",New
Fixed Period Term Sales Assistant - Cape Union Mart - Walmer Park,Cape Union Mart Group,"Eastern Province, KE",5d
Technology Wholesale Coordinator at Text Book Centre Ltd,Text Book Centre Ltd,"Nairobi, KE",6d
"Kokenut laskentainsinööri (Turku, Tampere tai Pori)",Skanska,"Western Province, KE",1d
Restaurant/Store Manager,Pernickety Pty Ltd,"Western Province, KE",1d
Legal and Compliance Secretary,myNEXT,"Eastern Province, KE",4d
Used Car Sales Executive,Astor Motor Recruitment,"Western Province, KE",4d
Investment Officer – Private Equity Funds,World Bank Group,"Nairobi, KE",5d
Responsible Pharmacist,Métier Recruitment SA,"Western Province, KE",1d
Case Manager - Workers Compensation,Kennedy Reid Group,"Eastern Province, KE",5d
Supply Chain Procurement Officer,International Rescue Committee,"Nairobi, KE",5d
Sales Representative Romania,Ormco,"Eastern Province, KE",5d
Associate Scientist-Water & Oceans,World Agroforestry,"Nairobi, KE",6d
Innovation Officer,UNHCR,"Nairobi, KE",5d
"Motorcycle Postie - Eastern Shore, Part Time Opportunity",Trading Post,"Eastern Province, KE",3d
School Nurse,BAKHITA CONSULTORIA,"Nairobi, KE",4d
Warehouse Supervisor,PERSONA staff,"Western Province, KE",New
Cross Trades and Customs Controller,Alpha Labour Solutions,"Western Province, KE",1d
Team Leader Moorings,Department of Health (WA Health),"Western Province, KE",5d
Dental HygienistPromoted,Aspen Dental,"Western Province, KE",4d
Key Account Manager SlovakiaPromoted,Ormco,"Eastern Province, KE",5d
Senior ArchitectPromoted,Edgile,"Eastern Province, KE",5d
National Sales And Marketing Director,Paper Chasers,"Nairobi, Kenya",5d
Sub-Sahara Africa Cluster Head - Location flexible,Citi,"Nairobi, KE",5d
"Child Protection Deputy Area Operations Manager, Central Highlands Area","Department of Health & Human Services, Victoria","Western Province, KE",5d
Tekkie Town Store Manager,Ackermans,"Western Province, KE",2d
Store Managers – Footwear – Burwood,Perfectly Placed Recruitment,"Western Province, KE",5d
Laboratory Professionals: Microbiologist | JOB-2623210,CompHealth,"Eastern Province, KE",3d
Credit Manager – Corporate & Investment Banking at Standard Bank and Trust Co,Standard Bank and Trust Co.,"Nairobi, KE",3d
Project Manager - Transportation Design,Fleis & VandenBrink,"Western Province, KE",4d
SERVER,Longhorn Steakhouse,"Eastern Province, KE",5d
Sales & Marketing GIT,Coca-Cola Beverages Africa,Kenya,4d
"Relief Social Care Assistant, Ardseileach Core and Cluster (3156) - CNS01896",Comhairle Nan Eilean Siar,"Western Province, KE",2d
Trainee Programme: Office Management/Administratio,Staff Solutions Limited,"Western Province, KE",5d
"Certified Medical Assistant - Family Practice - Hinsdale, IL",AMITA Health,"Western Province, KE",6d
Med Tech - Atria Forest Hills,Atria Senior Living,"Western Province, KE",4d
"Support Engineer - $60,000/year USD - JobID #3330",Crossover for Work,"Nairobi, KE",New
ESL Teacher - China,China Work,"Eastern Province, KE",1d
Vet Nurse - Full-time - Matraville Veterinary Hospital,VetPartners Australia and New Zealand,"Eastern Province, KE",5d
