Job Title,Company,Location,Salary,Job_link,Company Link
Inventory Manager,Sabi Collections,Lagos •,$3k – $4k,https://angel.co/company/sabi-collections/jobs/558104-inventory-manager,https://angel.co/company/sabi-collections
Social Media Manager,Sabi Collections,Lagos •,$3k – $4k,https://angel.co/company/sabi-collections/jobs/558106-social-media-manager,https://angel.co/company/sabi-collections
Sales Director,Havenlist,Cape Town,No salary • 2.0% – 5.0%,https://angel.co/company/havenlist/jobs/498151-sales-director,https://angel.co/company/havenlist
Software Developer,One Acre Fund,Uganda • Jinja •,$20k – $20k,https://angel.co/company/one-acre-fund-2/jobs/166251-software-developer,https://angel.co/company/one-acre-fund-2
SQL Server Database Administrator,One Acre Fund,Bungoma •,$20k – $20k,https://angel.co/company/one-acre-fund-2/jobs/548635-sql-server-database-administrator,https://angel.co/company/one-acre-fund-2
Sneaker authenticator and operational all-star,Ox Street,Singapore •,$2k – $4k,https://angel.co/company/early-stage-new-fashion-marketplace/jobs/550019-sneaker-authenticator-and-operational-all-star,https://angel.co/company/early-stage-new-fashion-marketplace
Ecosystem builder - AFRICA,Metamorph Network,irobi • Lagos • Cape Town,No salary • 1.0% – 3.0%,https://angel.co/company/metamorph-network/jobs/553337-ecosystem-builder-africa,https://angel.co/company/metamorph-network
Sales and Marketing Intern,Fudos Company,Cape Town • Johannesburg • Pretoria •,No salary,https://angel.co/company/fudos/jobs/526363-sales-and-marketing-intern,https://angel.co/company/fudos
Senior Webdeveloper,Jumba,Rotterdam • Bergen op Zoom • Antwerpen •,€45k – €75k,https://angel.co/company/jumba/jobs/97446-senior-webdeveloper,https://angel.co/company/jumba
Marketing & Awareness (Yoda),Hi5,Cape Town,$18k – $36k • 0.1% – 1.0%,https://angel.co/company/giveahi5/jobs/388035-marketing-awareness-yoda,https://angel.co/company/giveahi5
NALA - Uganda - Product Support Lead,NALA,Uganda • Kampala • Entebbe •,$3k – $15k,https://angel.co/company/nala-3/jobs/570938-nala-uganda-product-support-lead,https://angel.co/company/nala-3
Admin / Finance Rockstar,NALA,Dar es Salaam •,$10k – $20k,https://angel.co/company/nala-3/jobs/605952-admin-finance-rockstar,https://angel.co/company/nala-3
Support Manager,Luno,Cape Town •,$50k – $70k,https://angel.co/company/lunomoney/jobs/413028-support-manager,https://angel.co/company/lunomoney
Online Quran Teacher,Firdaws Academy,Egypt •,$1k – $2k,https://angel.co/company/firdaws-academy-1/jobs/680711-online-quran-teacher,https://angel.co/company/firdaws-academy-1
software engineer,Hegma,Lag,No salary • 50.0% – 50.0%,https://angel.co/company/hegma-1/jobs/691553-software-engineer,https://angel.co/company/hegma-1
Product Designer,Pariti ,Nairobi,$40k – $60k • 0.5% – 2.0%,https://angel.co/company/pariti-inc/jobs/680992-product-designer,https://angel.co/company/pariti-inc
Summer Fellow,Pariti ,Nairobi •,$2k – $2k,https://angel.co/company/pariti-inc/jobs/680995-summer-fellow,https://angel.co/company/pariti-inc
Compliance Supervisor,takealot.com,,,https://angel.co/company/takealot-com/jobs/725822-compliance-supervisor,https://angel.co/company/takealot-com
Franchise Compliance Supervisor - Johannesburg,takealot.com,,,https://angel.co/company/takealot-com/jobs/714154-franchise-compliance-supervisor-johannesburg,https://angel.co/company/takealot-com
Franchise Compliance Supervisor - Cape Town,takealot.com,,,https://angel.co/company/takealot-com/jobs/714918-franchise-compliance-supervisor-cape-town,https://angel.co/company/takealot-com
Operations Associate: Process Excellence - Mr D Food,takealot.com,,,https://angel.co/company/takealot-com/jobs/714919-operations-associate-process-excellence-mr-d-food,https://angel.co/company/takealot-com
Staff Trainer,WCAD Technology,Kilifi •,$5k – $10k,https://angel.co/company/wcad-technology/jobs/669329-staff-trainer,https://angel.co/company/wcad-technology
Software Engineer,WCAD Technology,irobi • Kilifi,No salary • 0.25% – 1.0%,https://angel.co/company/wcad-technology/jobs/669313-software-engineer,https://angel.co/company/wcad-technology
Network Engineer,WCAD Technology,irobi • Kilifi,No salary • 0.25% – 1.0%,https://angel.co/company/wcad-technology/jobs/669315-network-engineer,https://angel.co/company/wcad-technology
Quantitative Advisor,WCAD Technology,irobi • Kilifi,No salary • 0.25% – 1.0%,https://angel.co/company/wcad-technology/jobs/669318-quantitative-advisor,https://angel.co/company/wcad-technology
Intern Partnerships Developer,GirlLEAD,Benin City •,No salary,https://angel.co/company/girlleadproject/jobs/583933-intern-partnerships-developer,https://angel.co/company/girlleadproject
Public Relations Intern,Poblysh Media,Abuja •,No salary,https://angel.co/company/poblysh-media/jobs/638583-public-relations-intern,https://angel.co/company/poblysh-media
