Job Title,Company,Location,Salary,Job_link,Company Link
Learning Designer,Arifu,Nairobi,$15k – $18k • 0.0% – 0.5%,https://angel.co/company/arifu-kenya/jobs/606463-learning-designer,https://angel.co/company/arifu-kenya
Learning Design Manager,Arifu,Nairobi,$0k – $24k • 0.0% – 1.0%,https://angel.co/company/arifu-kenya/jobs/502339-learning-design-manager,https://angel.co/company/arifu-kenya
ICT Assistant,GRAND MAGNET RESOURCE,Lagos,$1k – $2k • 5.0% – 10.0%,https://angel.co/company/grand-magnet-resource/jobs/622247-ict-assistant,https://angel.co/company/grand-magnet-resource
Assistant Human Resource Officer,GRAND MAGNET RESOURCE,Lagos,$2k – $3k • 10.0% – 25.0%,https://angel.co/company/grand-magnet-resource/jobs/622248-assistant-human-resource-officer,https://angel.co/company/grand-magnet-resource
Business Developer,GRAND MAGNET RESOURCE,Lagos,$2k – $5k • 10.0% – 25.0%,https://angel.co/company/grand-magnet-resource/jobs/622246-business-developer,https://angel.co/company/grand-magnet-resource
Front End Developer,Giraffe,Johannesburg •,$30k – $100k,https://angel.co/company/giraffe-1/jobs/391650-front-end-developer,https://angel.co/company/giraffe-1
Full stack developer wanted to join SA’s hottest startup,Giraffe,Johannesburg,$20k – $50k • 0.0% – 5.0%,https://angel.co/company/giraffe-1/jobs/608843-full-stack-developer-wanted-to-join-sa-s-hottest-startup,https://angel.co/company/giraffe-1
Marketing & Communications Strategist,GETJAMA,Lagos •,$5k – $10k,https://angel.co/company/getjama/jobs/423986-marketing-communications-strategist,https://angel.co/company/getjama
Sales Lead,GETJAMA,Lagos • Lagos Island •,$1k – $2k,https://angel.co/company/getjama/jobs/402789-sales-lead,https://angel.co/company/getjama
Software Engineer,BuyPower,Abuja,$10k – $50k • 0.1% – 1.0%,https://angel.co/company/buypower/jobs/260997-software-engineer,https://angel.co/company/buypower
Product Manager,BuyPower,Lagos • Abuja •,$10k – $50k,https://angel.co/company/buypower/jobs/638116-product-manager,https://angel.co/company/buypower
Research Lead,The Busara Center,,,https://angel.co/company/the-busara-center/jobs/701778-research-lead,https://angel.co/company/the-busara-center
Engagement Director,The Busara Center,,,https://angel.co/company/the-busara-center/jobs/674378-engagement-director,https://angel.co/company/the-busara-center
Senior Backend Developer,The Busara Center,,,https://angel.co/company/the-busara-center/jobs/674379-senior-backend-developer,https://angel.co/company/the-busara-center
Senior Frontend Developer,The Busara Center,,,https://angel.co/company/the-busara-center/jobs/674380-senior-frontend-developer,https://angel.co/company/the-busara-center
Business Operations Analyst - Cape Town,Feastfox,Cape Town,$9k – $12k • 0.01% – 0.05%,https://angel.co/company/feastfox/jobs/684968-business-operations-analyst-cape-town,https://angel.co/company/feastfox
Strategy Associate - Cape Town,Feastfox,Cape Town,$17k – $33k • 0.05% – 0.2%,https://angel.co/company/feastfox/jobs/696416-strategy-associate-cape-town,https://angel.co/company/feastfox
"PHP, Laravel and Web Developer",Lots ,Nairobi,$20k – $30k • 2.0% – 5.0%,https://angel.co/company/lots-4/jobs/688587-php-laravel-and-web-developer,https://angel.co/company/lots-4
Android Software Engineer,Lots ,Nairobi,$20k – $30k • 2.0% – 5.0%,https://angel.co/company/lots-4/jobs/688586-android-software-engineer,https://angel.co/company/lots-4
Teacher Support Leader - Mbarara,Educate!,,,https://angel.co/company/educate-6/jobs/716553-teacher-support-leader-mbarara,https://angel.co/company/educate-6
Graphics designer,Happy Wishy,Nairobi •,$7k – $8k,https://angel.co/company/happy-wishy/jobs/585705-graphics-designer,https://angel.co/company/happy-wishy
Senior Software engineer,Inclusivity Solutions,Cape Town •,$40k – $60k,https://angel.co/company/inclusivity-solutions/jobs/489103-senior-software-engineer,https://angel.co/company/inclusivity-solutions
"Business Development Manager, Nigeria",Bloom Impact,Lagos,$12k – $17k • 0.5% – 1.0%,https://angel.co/company/bloomimpact/jobs/188502-business-development-manager-nigeria,https://angel.co/company/bloomimpact
